515109
/m/02kfwd
/m/02kfwd
Kalki Krishnamurthy

{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/05hgj": "Novel", "/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
2 1
a 18
about 2
accepts 1
actually 1
adithya 1
aditya 6
adorable 1
after 3
against 2
all 1
also 2
always 1
among 1
an 2
and 38
aniruddha 1
any 2
are 3
arinjaya 1
arinjayas 1
around 3
arulmozhi 3
arulmozhivarman 8
arulmozhivarmanthe 1
as 8
ascended 1
assassinated 2
assassinbut 1
assembling 1
at 4
attempts 1
aunt 1
azhwarkadiyan 1
back 3
battle 2
be 2
beauty 1
becomes 2
bedridden 1
been 1
before 2
besides 1
besot 1
best 1
between 1
birth 1
boat 1
book 1
born 1
both 2
boy 2
brahmarayars 1
brahmarayarsundara 1
brahmin 1
brilliant 1
bring 1
brother 1
buddhist 1
but 3
by 4
called 1
calls 1
case 1
caught 1
ceasing 1
challenging 1
chancellor 1
character 1
characters 2
charmingbrave 1
chieftains 1
chigaram 1
child 1
children 2
chola 11
cholars 1
cholathus 1
choodamani 1
choose 1
civil 1
close 1
collects 1
come 1
coming 1
command 1
community 1
confusion 1
conspiracy 2
conspirator 2
conspirators 4
coronated 1
country 2
crown 4
crowning 1
crowns 1
cyclone 1
dangerhe 1
daughter 1
day 2
dead 1
deaf 2
deals 1
death 3
debated 1
debates 1
deliver 1
despite 1
destroy 1
devi 1
died 1
discuss 1
dispersed 1
do 1
does 1
drawing 1
dumb 2
during 2
dynasty 1
ears 1
emperor 1
establish 1
everyone 1
everywhere 1
eyes 1
fallen 1
family 1
famous 1
father 3
fatheradithya 1
fifth 1
first 1
for 3
forced 1
forest 1
friend 3
from 4
front 1
future 2
gandaraditya 3
gandaradityas 1
general 1
generally 1
get 1
gets 2
getting 1
girl 1
give 1
glimpse 1
goes 2
grand 1
guard 1
had 6
has 1
have 4
he 11
hearing 1
help 1
helps 1
hence 1
her 4
herself 1
him 3
his 16
historians 1
household 1
i 1
ii 1
ill 1
immediately 1
in 26
influence 1
information 1
initiallylater 1
is 18
island 1
it 2
kadamboor 1
kadambur 2
kanchi 1
kandhamaaran 1
kandhamaranthe 1
karikalan 8
killed 2
king 5
kingdomthough 1
kinglater 1
knowledge 1
known 1
knows 1
kula 1
kundavai 4
land 2
lanka 8
later 4
life 1
like 2
lived 2
love 2
loved 1
lovely 1
loverit 1
loyal 1
maduranthaka 3
main 1
man 4
mandakini 1
manimegalai 1
married 1
mean 2
meanwhile 2
meet 2
meets 2
memorable 1
message 2
minister 2
missing 1
monastery 1
most 3
mother 1
motion 1
nambi 1
name 1
nandhini 5
nandhinithe 1
narrative 1
near 1
news 1
northern 1
not 1
novel 1
of 15
old 1
olden 1
on 1
one 3
original 1
other 1
out 1
palace 3
pandiya 2
pandya 2
parantaka 2
part 1
pazhavetturayar 1
pazhayarai 1
peace 1
people 1
per 1
periya 1
person 1
petty 1
piratti 1
place 1
plotted 1
political 1
poonkuzhali 3
power 1
prime 2
prince 3
princess 1
princessthe 1
princewho 1
probably 1
property 1
punished 2
raja 6
rajaditya 1
rajaraja 1
ravidasan 1
ravidasanthe 1
reaches 1
realizes 2
recovers 1
rescuing 1
returns 1
revenge 1
revolves 2
right 2
roams 1
rows 1
royal 1
rumor 2
said 1
says 1
second 1
seemingly 1
sees 1
sends 1
set 1
sets 1
she 3
shuttles 1
signs 1
sister 3
sixty 1
slowly 1
small 1
some 2
son 6
sons 3
spent 1
spreads 1
spy 1
sri 4
starts 3
stays 1
step 1
story 4
storysome 1
succeeded 1
such 1
sundara 3
survives 1
tabled 1
take 1
tanjorewhere 1
that 7
the 57
their 1
then 2
there 3
thereit 1
these 2
thevarthe 1
they 1
thirupurambayam 1
this 2
those 1
throne 4
through 1
till 1
time 4
times 1
to 24
too 1
travels 2
tricks 1
trouble 1
turned 1
turns 1
two 2
tyaga 1
uncle 1
unrest 1
uthama 1
utter 1
vallavarayan 1
vanar 1
vanathikodumbalur 1
vandhiyathevan 1
vandiyathevan 8
vassals 1
veeran 1
veerapandyan 1
vengeful 1
viharam 1
vow 1
vowed 1
want 1
war 1
warning 1
warrior 1
was 13
we 2
were 1
what 1
when 3
which 2
while 1
who 14
whom 2
whose 1
wife 1
with 7
without 1
woman 2
women 1
wonderful 1
would 2
year 1
young 2
younger 1
youth 1
