13075026
/m/02z5jj4
/m/02z5jj4
Michael Morpurgo
1982
a 2
albert 2
alone 1
an 1
and 6
army 1
at 1
before 1
both 1
bring 1
british 1
but 1
cannot 1
captain 1
caught 1
cavalry 1
come 1
dangerous 1
death 1
devon 1
disease 1
embarks 1
england 1
enlist 1
enough 1
extraordinary 1
fate 1
find 1
finding 1
forget 1
france 1
has 1
he 1
him 2
himself 1
his 1
home 1
horse 4
i 1
in 3
is 4
joey 4
killed 1
land 1
love 1
man 1
mission 1
narracott 1
nicholls 1
no 1
not 1
odyssey 1
of 1
old 2
on 3
outbreak 1
rider 1
riding 1
rose 1
serving 1
shipped 1
sides 1
sold 1
son 1
soon 1
still 1
taking 1
ted 1
the 6
their 1
to 6
up 1
war 2
watching 1
while 1
who 1
world 1
young 1
zoey 1
