19309309
/m/04lj8ys
/m/04lj8ys
Winston Churchill

{"/m/0hwxm": "Historical novel"}
a 19
aborted 1
about 3
abraham 3
actual 1
acumen 1
admirer 1
advance 2
after 1
allegiance 1
almost 1
also 1
although 1
ambitions 2
america 1
american 1
among 1
an 5
and 22
another 1
antagonizes 1
antipathy 1
appears 1
approval 1
are 2
around 1
arrogant 1
as 4
authenticity 1
author 3
based 1
be 1
bears 1
becomes 2
becoming 1
before 1
being 2
believable 1
ben 1
berlin 1
between 5
book 1
booth 1
boston 1
both 5
brice 2
bring 1
broadswords 1
bullet 1
but 1
by 3
carvel 2
cause 4
caused 1
cavalier 1
challenges 1
character 1
characters 2
christ 1
christian 1
citizens 2
civil 1
clarence 2
clerk 1
colfax 1
combination 1
comyn 1
condemned 1
cousin 2
crisis 1
daughter 1
debate 1
dedicated 1
democracy 1
depicted 3
depicts 1
determination 1
determined 2
develops 1
devoted 1
devotion 1
different 1
douglas 1
dozen 1
dramatically 1
duel 2
dynamic 1
each 1
earnest 1
easing 1
effort 1
election 1
elicit 1
eliphalet 1
end 1
equally 1
eve 1
events 3
eventual 1
experience 1
extension 1
fashionable 1
fellow 1
financially 1
find 1
fled 1
follow 1
following 1
for 4
formula 1
fought 1
four 1
fourth 1
freedom 1
freeport 1
from 6
gentleman 1
german 2
ginny 1
god 1
grant 2
had 1
hardworking 1
has 1
have 1
having 2
her 4
heroine 1
himself 2
his 7
historically 1
home 2
homeland 1
hopper 1
humor 1
hur 1
ideal 1
immigrants 1
in 12
incident 1
including 1
integrity 1
interview 1
involvement 1
is 10
it 1
john 1
just 1
justification 1
karl 1
lawyer 4
liberty 1
life 2
likely 1
lincoln 13
lincolns 1
lives 1
louis 4
loved 1
main 2
maxwell 1
meeting 2
metaphor 1
missouri 1
moment 1
mould 1
national 1
nerdowell 1
noble 1
nomination 1
north 2
northern 1
novel 2
of 30
offers 1
old 1
on 3
one 2
only 1
opera 1
opposition 1
overall 1
own 1
pages 1
part 1
patriotism 1
pay 1
people 1
person 1
personal 4
perspective 1
philosophy 1
pivotal 2
point 1
political 2
population 1
portrays 1
possible 1
postscript 1
power 2
presence 1
presented 1
presidency 1
prewar 1
prior 1
prominent 1
proponent 1
proposed 1
provoked 1
reactions 1
reconciliation 2
redeem 1
related 1
represented 1
richter 1
rivalries 1
romantic 1
rustic 1
sacrifice 2
same 1
save 1
scar 1
school 1
selfabsorbed 1
selfcentered 1
selfsacrificing 1
sense 1
set 1
sherman 2
sin 1
site 1
slavery 2
soap 1
socially 1
south 2
southern 5
spy 1
st 4
stalwart 1
stephen 3
story 2
style 1
suffering 1
supporting 1
sympathies 1
sympathizers 1
t 1
tale 1
tension 1
that 3
the 55
theater 2
their 2
them 3
themselves 1
they 1
third 1
this 4
those 1
through 2
throughout 1
title 1
to 20
together 2
total 1
town 1
transfer 1
transformation 1
try 1
twice 1
two 1
ulysses 1
uses 1
very 1
view 1
virgina 1
virginia 2
war 3
was 1
way 1
wellresearched 1
western 2
which 1
who 5
whom 1
whose 1
wilkes 1
william 1
win 2
with 5
would 1
young 3
zeal 1
