4610866
/m/0cchrp
/m/0cchrp
Max Barry
2006-01-17
a 4
acting 1
after 1
although 1
and 1
apparently 1
are 1
assistant 1
at 1
been 1
believes 1
building 1
business 1
called 1
ceo 1
characteristic 1
company 4
day 1
defining 1
department 1
difficult 1
disappear 1
discern 1
ever 1
exactly 1
explain 1
fact 1
fired 1
first 1
for 2
from 2
has 2
he 1
hiding 1
his 1
holdings 1
however 1
in 3
is 6
it 1
its 1
jones 1
management 1
met 1
no 1
novel 2
obscurity 1
of 2
omega 1
one 1
people 1
promoted 1
recruit 1
reports 1
representative 1
sales 2
seattle 1
seem 1
setting 1
shortly 1
somethingsomething 1
stephen 3
system 1
that 1
the 10
theft 1
there 1
to 3
training 1
type 1
what 1
when 1
who 1
why 1
wonders 1
would 1
young 1
zephyr 1
