1895332
/m/064fpb
/m/064fpb
Alison Lurie
1984-08
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
a 10
about 1
accident 1
actress 1
affairs 1
affections 2
altered 1
although 2
american 1
an 4
and 10
another 1
as 2
at 3
author 1
beautiful 2
because 1
becomes 2
been 3
begins 1
being 1
believing 1
book 1
brief 1
but 4
by 6
cannot 1
challenging 1
children 1
chuck 5
climbing 1
colleague 1
columbia 1
commitment 1
condescendingly 1
consoles 1
contacting 1
cooled 1
corinth 3
critic 2
d 2
daughter 1
days 1
death 1
describes 1
dooms 1
drinking 1
duration 1
emissary 1
encouragement 1
ends 1
england 1
english 1
enjoys 1
entree 1
estranged 1
exquisite 1
falling 1
family 1
father 1
fauntleroy 2
favor 1
fears 1
feel 1
fiftyfouryearold 1
finds 1
fits 1
flights 1
flings 1
for 6
fred 4
friend 1
from 1
garrulous 1
gay 1
give 1
gives 1
giving 1
good 1
had 1
hall 1
hampstead 1
has 6
have 3
having 1
he 7
heath 1
her 10
high 1
him 5
himself 1
his 7
history 1
home 1
homely 1
hoping 1
however 1
imagines 1
important 1
improbable 1
in 8
inspired 1
into 1
involved 1
is 14
john 1
just 1
l 2
lady 1
left 1
life 2
likes 1
literature 1
little 2
london 4
long 1
lord 2
loudly 1
love 3
loved 4
loves 1
makes 2
man 1
managed 1
marriage 2
married 1
mdash 2
meanwhile 1
midnight 1
miner 1
monstrous 1
more 1
much 1
mumpson 1
must 1
nefarious 1
never 1
nevertheless 1
new 1
not 3
of 9
off 2
on 1
or 1
over 1
own 2
perhaps 1
persistent 1
playground 1
point 1
pro 1
produce 1
professor 1
project 1
puts 1
quarreled 1
quite 1
radley 1
rather 1
read 1
realizes 1
really 1
relationshipthough 1
research 1
researching 1
resigned 1
return 1
returns 1
rhymes 1
roo 3
rosemary 2
ruffled 1
sabbatical 1
school 1
seatmate 1
serenity 1
several 1
share 1
she 14
silence 1
since 1
slowly 1
small 1
smoking 1
so 1
solitary 1
speaks 1
specializes 1
stairs 1
stopped 1
successful 1
sudden 1
summer 1
surprise 1
teach 1
telling 1
that 7
the 9
then 1
there 1
these 1
thing 1
think 1
this 2
to 12
town 1
trace 1
trashed 1
trip 1
tulsa 1
turner 1
tv 1
university 1
unloved 1
unmarried 1
up 1
us 1
very 1
vinnie 8
virginia 1
visited 1
walk 1
want 1
wants 1
well 1
what 1
when 1
where 1
while 1
who 3
whom 1
wife 2
with 6
work 1
young 2
zimmern 2
