7261888
/m/025xlh2
/m/025xlh2
Jerry Spinelli
1997
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 10
and 7
are 1
as 1
at 1
audience 1
back 1
be 3
beans 1
because 1
been 1
birds 1
boys 1
brings 1
by 3
called 1
capture 1
carries 1
ceremony 1
changed 1
city 1
classmates 1
comes 1
considered 1
convinces 1
cool 1
crate 2
day 1
died 1
dorothy 1
existence 1
father 1
field 2
for 3
friend 1
friends 1
from 1
grew 1
gunfire 1
had 1
happens 1
have 2
he 7
hears 1
henry 1
his 4
horrific 1
how 2
in 4
is 4
it 1
keeping 1
keeps 1
kid 1
killed 1
larue 1
learn 1
let 1
letting 1
midst 1
might 1
misery 1
money 1
mutto 1
named 1
near 1
necks 1
nervous 1
nipper 5
not 1
of 7
off 1
one 2
onto 1
order 1
out 2
palmer 8
part 1
peers 1
people 1
pet 2
pick 1
pigeon 5
pigeons 3
playground 1
pressured 1
put 1
railroad 1
raise 1
realizes 1
refuses 1
release 1
released 2
revealed 1
secret 1
sharpshooter 1
shooting 4
shotguns 1
so 1
such 1
take 1
tell 1
tenyearold 1
that 5
the 16
their 2
them 5
then 2
this 1
to 6
town 1
tracks 1
tradition 2
up 2
wants 1
waymer 1
when 2
where 1
while 1
will 1
with 2
wounded 2
wring 1
yearly 1
yet 1
