13158532
/m/02z93lg
/m/02z93lg
Cynthia Harnett
1959
{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 1
about 2
also 1
and 3
another 1
apprentice 1
apprenticed 1
are 3
arthur 1
as 3
be 1
been 1
bendy 3
benedict 1
business 1
but 2
by 1
caxton 2
complete 1
consequences 1
dangerous 1
delivery 1
drive 1
especially 1
father 1
fear 1
find 1
forwardlooking 1
halfbrothers 2
has 1
have 1
hiding 1
his 3
infuriates 1
involved 1
is 1
it 3
king 1
known 1
knows 1
lancastrian 1
mallory 1
manuscript 1
may 1
mean 1
new 1
newfangled 1
of 5
on 2
others 1
out 1
paper 1
press 1
printer 2
printing 1
proves 1
quest 1
rebels 1
scriveners 1
secretly 1
sends 1
stories 1
telling 1
that 1
the 6
them 1
they 1
this 1
thomas 1
to 2
trail 1
waylaid 1
who 1
will 1
william 1
with 1
worried 1
