3173445
/m/08x11d
/m/08x11d
Lloyd Alexander
1967-11
a 33
able 1
abode 1
accept 1
account 1
across 1
adopt 1
aeddan 2
after 6
afterward 1
again 1
alarca 1
all 2
alone 2
also 1
alternative 1
although 2
among 1
amulet 3
an 2
and 51
angharad 2
animal 1
annlaw 4
approval 1
are 3
as 8
ask 1
assistance 2
assists 1
astonished 1
at 5
attained 1
avren 1
away 1
bad 1
band 2
banks 1
bard 1
battles 1
be 5
because 1
become 1
been 4
before 1
beside 1
beyond 1
birth 3
boasts 1
bond 1
bone 3
book 3
border 1
both 1
bowl 1
breaks 1
bring 1
burden 1
but 12
by 10
cadarn 1
cadiffor 2
caer 2
call 1
calves 1
camp 1
cantrev 2
captured 1
castle 2
cave 1
ceremonial 1
cheated 1
cheats 1
child 1
childless 1
choose 1
chronicle 1
clayshaper 1
cloak 1
combat 1
comes 1
commingled 1
common 2
commot 1
commots 1
companions 1
compensation 1
continue 1
continuing 1
cornillo 1
couple 1
cow 2
craddoc 3
craftmasters 1
crescent 1
cross 1
crow 1
dallben 3
day 1
deadly 1
death 3
declines 1
decrepit 1
departs 2
desperate 1
determines 1
develop 1
developed 1
dinas 1
disappear 1
discovers 1
dismay 1
dispute 1
divided 1
does 3
doli 4
dorath 5
down 1
dream 1
dried 1
driving 1
during 2
dwarf 1
dwyvach 1
early 1
east 1
eastward 2
education 1
eilonwy 4
elderly 1
empty 1
enchant 1
enchanter 1
end 1
ended 1
enough 2
escape 1
escorting 1
especially 1
events 1
every 2
evidently 1
exchange 2
explaining 1
extracts 1
fails 1
fair 4
fall 1
family 1
far 1
farm 1
farmers 1
farming 1
father 1
feuding 1
fflam 1
fflewddur 6
fields 1
finally 2
find 2
finger 1
first 3
flees 1
folk 4
followed 1
following 1
for 11
forge 1
form 1
forms 1
free 1
friend 2
frog 1
from 4
full 2
further 1
fury 1
gain 1
gast 3
gather 1
gave 1
gazes 1
giant 1
gift 1
give 1
gives 2
gladly 1
glew 1
go 1
goes 1
gorge 2
goryon 4
great 2
green 1
guesses 1
guests 1
guidance 1
gurgi 10
habitual 1
had 2
half 3
handtohand 1
hare 1
has 9
have 7
he 29
her 4
herds 1
here 1
hevydd 1
high 1
him 9
himat 1
himself 3
his 16
history 2
holdings 1
honorary 1
hopes 1
horn 1
horse 1
hosts 1
house 2
however 1
human 1
identifies 1
if 1
imprisonment 1
in 11
inherited 1
interrupts 1
into 2
investigate 1
investigation 1
is 13
it 7
its 1
ivar 1
jewel 3
journey 2
judgment 1
kaw 2
kidnapped 1
killing 1
king 3
knew 1
know 1
knows 4
labor 1
lake 1
later 1
leads 1
learned 1
learns 3
least 1
leaves 1
life 3
lion 1
little 2
livestock 1
llawgadarn 1
llonio 1
llunet 4
llyan 2
llyr 4
long 1
longer 1
loom 1
lord 2
lords 2
loss 1
lost 1
loves 1
lucky 1
magic 1
marriage 1
marshes 1
master 1
mastered 1
mastering 1
masters 1
meet 1
melynlas 2
merely 1
mirror 4
mission 1
moon 1
morda 9
more 1
morning 1
morva 1
mother 1
mount 1
mountain 1
mountains 1
mouse 1
mouth 1
namely 1
natural 1
near 1
nearly 1
necklace 1
neighboring 1
net 1
never 2
new 5
next 7
night 1
no 4
noble 4
not 2
nothing 3
now 3
of 35
offer 1
offers 1
old 4
on 7
one 3
only 1
or 1
orddu 3
orgoch 1
orwen 1
other 1
others 1
out 1
outfit 1
over 1
own 2
parentage 1
parting 1
partly 1
patrol 1
pendant 1
persuades 1
pest 1
pet 1
plans 1
pledge 1
polished 2
pony 1
pool 1
poor 1
pose 1
possessions 1
potter 2
pottery 1
power 2
prevents 1
primary 1
princess 1
prize 2
prompted 1
proposal 1
protects 1
pursue 1
quest 1
questions 1
raid 2
realizes 1
realms 1
recognition 1
recover 1
reflection 1
regain 1
relates 1
relieved 1
remain 3
remainder 1
remains 1
rescue 1
resents 1
resides 1
resistance 1
resort 1
resow 1
respect 1
restless 1
restores 1
return 2
returned 1
returning 1
returns 1
revealed 1
reveals 1
revive 1
rhydnant 1
rider 1
rival 1
river 1
royal 1
ruffian 2
ruined 1
save 1
saw 1
says 1
search 1
seems 2
shall 4
share 1
shatters 1
she 2
shelter 1
shepherd 1
short 1
show 1
showed 1
silver 1
size 1
slip 1
smith 1
smoit 6
snaps 1
snares 1
so 2
some 2
something 1
son 4
soon 1
sought 1
source 1
spend 1
spring 2
springtime 2
stake 1
stashed 1
stay 1
steals 1
steeds 1
strength 1
stronger 1
stronghold 1
stump 1
succeed 1
suffers 1
summon 1
summons 2
support 1
suspect 1
sword 3
swordpoint 1
symbol 1
take 1
takes 1
taran 36
teach 1
tells 3
than 1
that 12
the 70
their 10
them 2
then 1
there 2
they 10
third 1
threat 1
threaten 1
three 3
to 44
together 1
token 1
too 1
toothpick 1
trades 1
transform 1
transformed 1
travel 2
treasure 2
treasures 1
tree 1
try 2
turns 1
unable 1
underground 1
value 1
vassal 1
village 1
visited 1
wager 1
wandering 1
wares 1
was 1
water 1
way 2
weakly 1
wears 1
weather 1
weaver 1
weeks 1
welcome 3
welcomes 2
what 2
wheel 1
when 1
where 3
which 4
who 7
whom 1
widower 1
will 8
winter 1
witches 1
with 7
without 1
wizard 1
wore 1
worn 1
would 2
years 2
yellow 1
ystrad 1
