5360871
/m/0dhc69
/m/0dhc69
Mark Clapham

{"/m/014dfn": "Speculative fiction"}
3006 1
30th 1
a 24
about 1
acid 1
activated 1
actually 1
adrenalin 1
after 3
again 1
against 1
agrees 3
air 1
all 1
allowing 1
an 2
and 28
anji 11
appears 1
apple 2
are 3
army 1
arrive 1
as 2
asks 1
at 2
attacks 2
back 2
bait 1
be 3
became 1
becomes 1
bed 2
been 3
before 2
begins 2
being 2
believe 1
birth 1
blows 1
born 1
bottom 1
boyfriend 1
brain 1
break 2
breaks 1
breathable 1
brotherhood 5
build 1
bunker 4
burst 1
businessman 1
but 6
buys 1
by 2
called 1
calling 1
can 4
capable 1
casino 7
catches 1
cell 1
century 1
city 2
clone 3
cloned 1
collect 1
committed 1
computer 1
conquering 1
contacts 1
control 1
core 2
could 1
create 4
created 1
crime 1
cyborg 2
cyborgs 1
dart 1
data 3
dave 8
dead 1
decapitating 1
decapitation 1
deduces 1
defects 1
demand 1
demands 1
disappeared 1
discover 1
discovers 1
disloyal 1
distant 1
dives 1
doctor 23
dominant 1
door 1
down 1
drives 1
each 1
effects 1
empire 1
endpoint 6
enhanced 1
enlisted 1
enters 1
entry 1
evolve 1
experimenting 1
explain 2
explains 7
explosive 1
extinct 1
eye 1
faith 1
fight 1
fighting 1
find 1
finds 2
fist 1
fitted 1
fitz 9
flee 1
flees 1
for 2
forced 1
from 6
frozen 1
further 1
future 2
genetic 1
give 2
given 1
gives 1
go 1
goes 1
group 1
had 1
has 6
have 2
he 15
heads 1
held 1
help 3
helps 1
her 1
hidden 1
him 9
himself 5
his 9
hope 1
hormone 1
human 3
humans 7
hypertunnel 4
ice 1
if 2
ii 5
image 1
implants 1
imprisoned 1
improve 1
in 12
inbred 1
infiltrate 1
inside 1
intends 1
into 6
investigate 1
investigating 1
is 6
it 1
its 1
kallisti 5
keep 1
key 1
killer 4
kills 1
land 2
learning 2
learns 1
leave 1
leaves 2
life 2
limit 1
liquid 1
locates 1
long 1
loyal 1
machine 1
machines 1
made 1
military 1
miraso 2
murderer 1
murders 1
mutants 3
nearby 1
new 2
not 1
of 16
offers 1
office 1
on 10
one 1
only 2
orders 1
other 2
out 1
overpowers 1
own 1
owner 1
part 1
people 3
permanent 1
places 1
plan 2
planet 3
plans 2
pocket 2
policeman 2
pollution 1
power 1
produce 1
prolong 1
provides 1
public 1
push 1
queen 2
quickly 1
race 3
rebels 1
recently 1
recover 1
regard 1
release 1
releases 1
reprograms 1
rescue 1
rest 1
return 1
reversing 1
scene 1
sea 5
see 1
sent 1
serial 1
she 2
shoots 1
should 1
silver 25
silverati 2
similar 1
sink 1
skin 1
so 4
some 1
space 1
speaks 1
spread 1
staff 2
stranded 1
suddenly 1
suffered 1
supply 1
surface 1
surround 1
survive 1
takes 1
taking 1
talking 1
tardis 8
technology 2
tell 1
tells 2
that 18
the 91
their 2
them 5
themselves 1
then 4
they 6
through 1
throughout 1
time 3
to 44
took 1
toxic 1
tracer 1
trades 1
tranquillise 1
tranquilliser 1
travel 2
trees 1
tries 2
turns 4
unable 1
up 3
use 1
used 2
uses 1
variety 1
visitor 1
war 1
was 5
water 1
were 1
when 7
where 1
which 5
while 3
who 2
with 7
young 1
