1966059
/m/069knb
/m/069knb
Rafael Sabatini
1926
{"/m/02w06c6": "Historical romance", "/m/0hwxm": "Historical novel"}
a 18
abandoned 1
abbey 1
abbot 1
about 1
actually 1
admits 1
adoption 1
adoptive 3
affords 1
after 2
alone 1
amusing 1
an 3
and 26
anxious 1
are 2
arrive 1
arrived 1
arriving 1
as 7
ask 1
asking 1
assumes 1
at 1
attack 1
attacked 1
author 1
authorities 1
barbaresco 4
be 1
beautiful 1
become 3
becomes 1
becoming 1
been 1
before 2
being 1
believes 1
believing 1
bellarion 13
blood 1
bolts 1
brother 1
but 3
by 5
cane 4
capital 1
captain 2
captures 1
career 1
carry 1
casale 1
case 1
cell 1
charges 1
child 1
claims 1
commanded 1
companion 1
compilation 1
complicity 1
condottiere 1
confidante 1
consequently 1
contact 1
continues 2
corrects 1
corrupting 1
court 2
cruel 1
da 2
delaying 1
depart 1
departs 1
despite 1
despotic 1
did 1
dies 1
discovering 1
discovers 3
distrusts 1
dog 1
dogs 1
doing 1
door 2
duke 1
employ 1
enters 2
enzo 1
escape 1
escaped 1
escapes 1
expecting 1
explains 1
facino 6
fact 1
false 1
fight 1
find 1
finds 1
flees 1
follow 1
for 5
formalizing 1
fra 1
franciscan 1
friar 2
friends 1
from 2
galeazzo 1
garden 1
gian 3
giufreddo 2
goes 1
group 2
guard 2
had 2
has 4
he 17
heard 1
her 5
hide 1
high 1
highly 1
him 14
himself 3
his 7
histories 1
holds 1
house 1
how 1
imola 1
important 1
impress 1
in 13
including 1
intending 2
interrogate 1
intrigue 1
introduction 1
investigate 1
is 13
it 1
its 1
keep 1
kills 1
kindness 1
lady 1
leave 1
letter 2
life 1
like 1
listens 1
local 1
lord 2
lorenzaccio 1
loyal 2
loyalty 1
majority 1
man 1
manner 1
many 1
maria 2
marquis 1
matter 1
means 1
meanwhile 1
meets 1
mercenary 1
message 1
messenger 2
milan 5
misapprehension 1
mistaking 1
money 1
montferrat 3
murder 3
murdered 1
named 1
narrative 1
nearing 1
nephew 1
not 1
numerous 1
of 23
offers 1
one 3
over 2
pacified 1
pains 1
palace 1
particular 1
past 1
pavia 1
plan 1
pledges 1
plot 2
plotting 2
podest 2
possession 1
present 1
presented 1
presides 1
previous 1
princess 1
prison 1
progressing 1
pursued 1
pursuers 1
quizzes 1
raised 1
rank 1
reaches 2
rebuff 1
recognizes 1
regent 1
rendering 1
respected 1
rest 1
return 1
rightful 1
rises 1
robbed 1
rule 1
same 1
scoundrel 1
sensing 1
serafino 1
serves 1
serving 1
sets 1
she 3
shortly 1
simply 1
smells 1
so 1
soaked 1
some 1
someone 2
son 5
spigno 5
stabs 1
story 2
study 1
supposed 1
surprised 1
suspect 1
tactic 1
takes 4
tells 1
that 11
the 35
them 2
then 1
thence 1
theodore 4
there 1
they 1
thinks 1
this 1
throne 1
time 1
to 28
traitor 2
travels 2
trino 2
true 1
truly 1
trusted 1
turns 1
twists 1
unable 1
unaware 1
uncle 1
unlocked 1
until 2
unwilling 1
upon 2
valeria 8
various 1
verify 1
visconti 2
was 3
ways 1
week 1
wellknown 1
what 1
when 1
whereupon 1
whether 1
which 3
who 8
widow 1
wishing 1
witchcraft 1
with 3
would 1
young 1
