3837612
/m/0b2k_s
/m/0b2k_s
Vonda McIntyre
1978
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 29
able 2
about 1
above 1
abused 1
accompanies 1
addicted 1
adopt 2
afraid 1
after 4
again 2
against 1
ago 1
aid 1
all 4
allow 1
along 1
already 1
also 3
always 1
an 3
and 52
another 3
antidote 2
anyone 1
apologize 1
are 8
arevin 3
arrives 1
as 7
ashamed 1
ask 1
asked 1
asleep 1
assist 1
assistance 3
assisted 1
assists 1
at 4
attacked 2
attempt 2
attempts 1
awake 1
away 3
back 6
be 3
bears 1
beautiful 1
because 4
become 1
bed 1
been 6
before 3
being 3
believes 1
belongings 1
bequeath 1
better 2
biocontrol 3
bite 1
bitten 5
blames 1
both 1
boy 2
breed 1
bring 1
bringing 1
broken 2
brought 1
burned 1
but 7
by 13
calming 1
came 1
can 3
captured 1
capturing 1
carcass 1
case 1
casual 1
cave 1
central 2
checking 1
child 3
children 1
city 5
cloaked 1
cloakshe 1
clone 1
cloning 1
cobra 1
cold 1
comes 2
companions 1
contact 1
continuing 1
continuously 1
control 1
convinced 1
could 1
craters 1
crazy 4
creates 1
credit 1
crippling 1
crushes 1
cure 1
days 1
dead 1
death 3
debt 1
dependent 1
desert 4
despite 1
developed 1
dies 1
difficult 1
distance 1
doesnt 1
dome 2
done 2
doubtful 1
down 1
dreams 2
dreamsnake 6
dreamsnakes 4
drugged 1
dweller 1
dwellers 1
end 1
ends 1
enough 1
escape 2
eventually 1
every 1
excellent 1
extremely 1
faced 1
failed 1
fall 1
fallen 2
family 2
father 2
fears 1
fellow 1
few 1
fights 1
figures 1
filled 1
final 1
find 2
finding 1
finds 3
for 9
forces 1
form 1
four 1
free 1
fresh 1
friend 1
friends 1
from 8
gabriel 3
get 2
gigantism 1
girl 1
give 1
go 2
goes 2
going 1
gone 1
gotten 1
governor 2
grabs 1
grass 5
grows 1
grudge 1
guarding 1
guards 1
had 5
handsome 1
happened 2
hard 1
has 6
have 7
having 5
he 12
head 2
heads 1
heal 2
healer 4
healers 5
healing 3
held 1
help 2
henchmen 1
her 35
hers 1
herself 5
hides 1
hills 1
him 3
himself 3
his 2
hopes 1
horrified 1
horse 3
horses 2
horsewoman 1
if 1
in 24
incorrectly 1
infected 1
injured 2
instructed 1
into 2
intrigued 1
invited 1
invites 1
is 29
issue 1
it 9
its 3
jesse 9
journal 1
journey 1
keep 1
keeps 2
knowledge 1
lain 1
large 1
learn 1
leaves 2
left 1
leg 2
like 1
little 1
loathes 1
long 1
loss 1
love 1
make 2
makes 2
making 1
man 3
manages 2
mansion 1
many 5
meets 1
melissa 7
mentally 1
mention 1
met 1
might 1
misery 1
missing 1
mist 4
mistake 1
more 4
must 2
named 2
natives 1
never 1
news 2
next 1
night 2
no 1
north 5
not 2
nuclear 1
oasis 2
occasionally 1
of 24
off 3
old 1
on 3
once 1
one 1
ones 1
only 2
opens 1
or 1
other 1
otherworlders 3
out 6
over 1
own 1
pain 1
painless 1
pair 1
part 1
passes 1
patient 1
people 2
perhaps 2
persuade 1
physically 1
pick 1
pit 2
place 1
planet 1
poisoning 1
pony 1
potion 1
potions 2
pregnancies 1
pregnancy 1
pregnant 1
prevent 1
prevented 1
prevents 1
protected 1
public 1
purpose 1
purposes 1
put 3
puts 1
radiation 1
radioactive 1
rare 2
rattlesnake 1
realizes 1
recognizes 1
recover 1
relents 1
remaining 2
remove 1
request 2
result 1
return 1
returns 1
riding 2
ruined 1
ruling 1
safety 1
said 1
same 1
sand 3
say 1
saying 1
scars 1
see 1
seeing 1
setting 1
severely 2
sexually 1
she 16
shelter 1
show 1
shrinks 1
shunned 1
shy 1
sick 1
small 1
snake 34
snakes 6
so 1
son 1
soothes 1
south 1
speak 1
spear 1
spine 1
stablemaster 2
stables 1
start 3
stavin 3
storms 1
story 2
strike 1
stronger 1
such 1
suddenly 1
suggests 1
sulks 1
surprised 1
survives 1
sweet 1
swift 1
take 2
takes 3
taking 2
technology 1
teenager 1
tell 2
tells 1
that 13
the 66
their 3
them 6
then 1
there 1
they 10
things 2
think 1
this 5
threatened 1
three 1
through 4
time 1
times 1
to 41
too 1
toward 2
town 3
training 1
travels 2
treat 1
treatment 1
tribe 1
tries 1
trustworthy 1
try 1
turned 1
twelve 1
two 2
unable 1
unclear 1
until 2
up 2
upon 1
urges 1
used 2
uses 1
usually 1
vaccines 1
venom 3
very 1
village 1
villagers 1
wait 1
wanting 1
war 1
was 5
watching 1
way 2
what 1
when 6
where 5
whether 1
which 3
while 3
who 7
whom 1
whose 2
why 1
will 3
wish 1
with 7
without 1
work 1
works 1
world 1
worse 1
would 1
year 1
years 2
young 1
