2951792
/m/08fr37
/m/08fr37


{"/m/0hfjk": "Western"}
180s 1
a 18
about 3
accept 1
accompanied 1
acquitted 1
act 1
afraid 1
after 2
afterwards 1
again 1
aged 1
agrees 2
also 1
an 8
and 31
annoys 1
another 1
anything 1
apparent 1
apparently 1
appears 1
appreciate 1
are 3
around 1
arthur 1
as 7
asks 2
asylum 1
at 6
attack 1
attacking 2
attempt 1
away 1
axe 1
banter 1
be 3
bears 1
because 1
become 1
been 1
before 2
believing 1
below 1
beneath 1
best 2
bizarre 1
blade 2
blame 1
board 1
body 1
both 1
bounty 1
boys 3
brings 1
brother 1
by 5
can 2
certain 1
choice 1
clear 1
climactic 1
come 3
comes 1
community 2
considers 1
continually 2
continues 1
dairy 4
dakota 2
day 2
decides 2
defense 1
deserved 1
despite 1
did 1
die 1
discipline 1
distaste 1
does 1
domestic 1
done 1
dressed 1
drive 1
due 1
during 1
duties 1
earle 1
earlier 1
earned 1
efficient 1
efforts 1
eight 1
ellie 7
employ 1
end 1
enterprise 1
entrusts 1
episode 1
escaped 1
esteem 1
ethic 1
even 3
event 2
eventually 1
every 1
evil 1
exhibited 1
explained 1
explanation 1
eyes 1
faints 1
fairly 1
family 2
far 2
farm 9
farmer 2
farmhand 2
farming 1
fears 1
feels 1
fields 1
figure 1
fleeing 1
for 5
foreigner 1
former 1
found 1
friend 1
friends 1
from 1
future 1
generally 1
get 1
give 1
go 1
grating 1
ground 2
grows 1
guilty 1
had 6
hallucination 1
happened 1
harm 1
harming 1
harmonica 2
harmonicas 1
has 2
hatch 13
have 3
having 1
he 29
helton 26
her 5
herbert 1
him 13
himself 3
his 22
home 1
homer 1
house 2
household 1
hunter 1
hunting 1
if 1
ill 1
immediately 2
importance 1
impresses 1
in 13
incomparable 1
increases 1
innocent 1
instead 1
instinctively 2
insults 1
intended 1
interesting 1
into 2
irritating 1
is 21
it 3
job 1
just 1
kill 1
killed 2
killing 2
knife 2
labor 1
land 1
late 1
laziness 1
leave 1
leaves 1
legally 1
life 2
like 1
lives 1
locate 1
longer 1
lost 2
lying 1
mad 1
man 4
manner 1
many 1
mark 1
men 1
mental 1
midst 1
moment 1
monthly 1
more 1
most 1
moves 1
much 1
must 3
mysterious 1
named 2
nearlygrown 1
neighbors 1
never 4
news 1
next 1
nine 1
no 4
nonetheless 1
north 2
not 2
note 1
now 1
observes 1
oddities 1
of 17
off 1
offensive 1
offering 1
olaf 2
on 10
once 2
one 6
only 2
onto 1
opens 1
or 1
origins 1
out 1
outcast 1
owns 1
parents 1
part 1
past 1
patient 1
pay 2
perform 1
perfunctory 1
personal 1
pitchfork 1
playing 2
plus 1
poignantly 1
point 1
precious 1
presents 1
productive 1
profitable 1
prosperity 1
proves 1
puts 1
puzzling 1
quickly 1
rarely 1
realizes 1
reason 1
refused 1
regain 1
regards 1
relive 1
reluctantly 1
remarkably 1
replace 1
reports 1
reputation 1
required 1
respect 1
responsibility 1
returned 1
reveals 1
room 1
royal 1
ruined 1
rundown 1
running 1
runs 1
rushes 1
same 2
saw 2
saying 1
scene 4
see 2
sees 2
selfdefensedefense 1
sets 1
shake 1
she 7
sheriff 1
shoots 1
shotgun 1
shows 1
silent 1
silently 1
simply 1
singlehandedly 1
six 1
small 3
smiling 1
snatched 1
somewhat 1
song 1
sons 2
soon 1
sorry 1
southern 1
speaking 1
still 3
stomach 1
story 1
stranger 1
striking 1
stunned 1
subtle 1
such 1
sure 2
swearing 1
swede 1
t 1
taciturn 1
tell 1
tells 1
terrifying 1
texas 2
thanks 1
that 17
the 45
their 3
then 1
there 2
they 3
this 2
thompson 23
thompsons 2
though 6
thrives 1
time 1
to 29
traits 1
transforming 1
trial 1
troubled 1
trust 1
two 3
unable 1
unaccountably 1
unproductive 1
unsuccessful 1
unwilling 2
up 2
values 1
verdict 1
view 2
views 1
visit 2
wage 2
walks 1
was 1
way 1
wellbehaved 1
were 1
what 4
wheat 1
when 2
which 2
while 2
who 1
whom 1
wife 2
with 8
without 1
witnessed 1
women 1
work 3
worse 1
would 2
writes 1
years 2
