4908465
/m/0ctp37
/m/0ctp37
Dean Koontz
1980-04
a 9
about 1
abused 1
after 3
afterward 1
again 4
airtight 1
alibi 1
an 1
and 12
angeles 2
answered 1
anything 1
anywhere 1
appears 1
are 1
arrives 1
as 1
asks 1
at 1
attacked 2
attacks 2
back 1
be 2
been 3
before 3
begin 1
being 2
believe 1
believes 2
birth 1
body 1
born 2
both 2
boys 1
brought 1
bruno 2
but 1
by 3
called 2
calls 2
cared 1
cauls 2
clemenza 6
come 1
couldnt 1
daughter 1
day 1
dead 2
death 1
demon 1
demons 1
detective 1
did 1
disturbed 1
during 1
either 1
escapes 1
escaping 1
faces 2
finally 1
for 2
forces 1
found 1
from 1
frye 13
gave 1
got 1
grandfather 1
gunpoint 1
happened 1
has 3
have 1
he 7
her 7
hilary 8
him 3
his 4
home 3
host 1
identical 2
identify 1
if 1
in 3
investigations 1
is 3
it 1
just 1
katherine 3
killed 1
killing 1
latest 1
leading 1
leave 1
leo 2
lets 1
listen 1
living 1
los 2
madam 1
man 2
mark 1
meet 1
meets 1
mentally 2
morgue 1
mother 2
napa 1
near 1
next 1
night 1
of 5
on 2
once 3
one 3
or 1
out 1
person 1
police 3
possessed 1
pregnant 1
proving 1
psychologist 1
punished 1
raised 1
rape 1
read 1
receiving 1
recently 1
recording 1
relationship 1
retired 1
return 1
returns 1
rewarded 1
romantic 1
said 1
says 1
screenwriter 1
sessions 1
several 1
she 5
shortly 1
some 1
somewhere 1
sons 1
spirit 1
stab 1
struggle 1
take 1
talks 1
tape 1
tell 1
tells 3
that 7
the 10
their 2
them 4
there 1
they 3
this 2
thomas 1
time 1
to 10
tony 2
tries 1
twin 1
twins 2
two 1
unstable 1
valley 1
vineyard 1
visited 1
was 1
were 5
what 1
where 1
who 4
whose 1
with 4
women 1
would 1
wounds 1
