16107095
/m/03qp8d6
/m/03qp8d6
Yasmina Reza

11yearold 1
a 4
about 1
alain 1
alan 1
all 1
an 1
and 6
annette 2
argument 1
arguments 1
as 1
be 1
because 1
before 1
begins 1
benjamin 1
book 1
books 1
both 1
broadway 4
bruno 4
central 1
children 2
coffee 1
consistently 1
darfur 1
degenerates 1
discuss 1
discussion 1
dramatic 1
evening 1
falls 1
father 2
ferdinand 5
four 1
gang 1
get 1
getting 1
goes 1
good 1
henry 1
her 1
his 2
homophobia 1
husband 1
in 6
into 3
involved 1
irrational 1
is 5
join 1
knocks 1
lawyer 1
let 1
loaded 1
management 1
matter 1
meet 1
meeting 1
michael 1
michel 2
misogyny 1
mobile 1
moments 1
mother 2
never 1
night 1
occurs 1
of 5
off 1
on 1
one 1
onstage 1
out 1
over 1
parents 1
phone 1
play 2
precise 1
prejudice 1
production 4
racial 1
refuses 1
reille 1
selfmade 1
shoes 1
stick 1
table 1
teeth 1
that 1
the 14
their 1
to 3
topics 1
two 2
unwell 1
vallon 1
veronica 1
vomits 1
vronique 1
wealth 2
wears 1
when 1
who 1
wholesaler 1
wife 1
with 2
writing 1
