4560559
/m/0c8y9b
/m/0c8y9b
Ivan Yefremov


1000 1
100000 1
26th 1
a 4
aegean 1
an 1
ancient 1
and 3
arc 1
are 1
assume 1
back 1
bc 2
but 2
by 2
c 1
can 1
century 1
circular 1
coming 1
cosmology 1
crete 1
date 1
dates 1
decides 1
divided 1
djedefra 1
during 2
egypt 1
egyptian 1
encompassing 1
enslaved 1
entire 1
expedition 1
fabled 1
famous 1
finally 1
first 1
from 1
great 1
greece 1
haunted 1
he 2
him 1
home 1
in 5
is 3
its 1
journey 1
land 2
lands 1
limits 1
more 1
named 1
no 1
novel 1
ocean 1
of 5
off 1
on 1
one 1
order 1
pandion 1
part 2
parts 1
period 1
pharaon 1
place 1
point 1
precise 1
provided 1
punt 1
rule 1
sculptor 1
second 1
seek 2
send 1
separated 1
sets 1
south 1
start 1
starts 1
storm 1
takes 1
than 1
that 1
the 14
thought 1
to 5
two 1
where 1
who 1
world 1
years 1
young 1
