2385308
/m/0787_w
/m/0787_w
John Brunner
1972
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia"}
a 8
academic 1
affected 1
all 2
america 1
an 1
and 7
appear 1
austin 1
backstory 1
become 1
been 1
big 1
birth 1
blowing 1
book 3
both 1
break 1
brigade 2
broken 1
by 2
call 1
chad 1
change 1
chapters 1
character 2
characters 2
cities 1
civil 2
combination 1
conroy 1
continuing 1
corporationsponsored 1
defects 1
despite 1
disillusioned 1
disillusionment 1
doctor 2
down 1
drive 1
due 1
each 1
end 1
explain 1
extreme 1
factors 1
failure 1
fire 1
food 1
from 3
go 1
government 3
governmentcompanies 1
has 3
have 1
hayrick 1
he 1
health 2
high 1
housewife 1
if 1
in 10
incidence 1
ineffectiveness 1
infrastructure 1
instead 1
interpreting 1
into 1
ireland 1
is 6
it 2
jagged 1
lack 2
length 1
levels 1
listen 1
long 1
look 1
many 1
medical 1
meet 1
military 1
most 1
mulligan 1
multistrand 1
narrative 1
never 1
not 1
of 10
on 2
one 1
only 1
oppressive 1
or 2
orbit 1
other 2
ought 1
pages 1
people 1
plot 1
policing 1
pollution 1
pollutioninduced 1
poor 2
predicting 1
private 1
purpose 1
range 1
reached 1
reader 1
replies 1
rioting 1
rise 1
sanitation 1
says 1
sections 1
serves 1
services 3
several 1
sheep 1
similar 1
similarly 1
smells 1
smoke 1
social 1
society 1
some 2
stand 2
states 1
style 1
sweep 1
that 1
the 17
there 1
thirty 1
this 1
to 12
train 1
two 1
united 1
unrest 2
up 2
used 2
vignettes 1
visiting 1
way 3
we 1
which 2
who 1
wind 1
with 2
words 1
would 1
xavier 1
zanzibar 2
