26641052
/m/0bhb3zw
/m/0bhb3zw
Claudia Gray
2010-03-15
a 16
about 2
after 5
agree 2
allow 1
allows 1
alone 1
also 1
and 24
anyone 1
appears 1
are 7
arrive 1
as 4
assist 1
at 1
attack 1
attacked 2
back 1
balthazar 6
bank 1
basement 1
become 2
becomes 2
becoming 1
before 1
begin 3
belongs 1
bethany 4
bianca 21
birthday 1
black 8
blood 3
body 1
bonded 1
born 1
both 3
bracelet 1
break 2
broche 1
broken 1
burns 1
burnt 1
but 4
by 10
can 1
captured 1
caught 1
causing 1
cell 4
charity 6
cinema 1
city 1
clan 2
close 1
coral 1
cross 8
currently 1
dana 2
dangerous 1
decides 1
die 1
dies 1
down 2
draining 1
due 2
eduardo 1
escape 3
escaped 1
escapes 1
fate 1
feed 1
feeding 2
fight 1
find 1
finds 1
following 1
for 2
form 1
friend 1
from 2
full 1
get 2
getting 1
gives 1
go 2
has 1
have 1
he 6
help 1
helps 1
her 15
him 6
his 1
holding 1
holiday 1
holy 1
hospital 1
hotel 1
house 1
human 1
hunt 1
ill 1
in 11
including 2
increasingly 1
injured 1
interrupted 1
iron 1
is 18
it 1
jobs 1
kill 3
killed 1
killing 2
later 4
leaves 1
life 1
living 2
loses 1
lucas 15
made 1
material 1
maxine 1
members 2
met 1
money 2
mrs 4
must 1
named 1
near 1
neck 1
needs 1
new 1
night 1
not 2
now 1
objects 1
of 7
offers 1
on 1
once 1
orchestrating 1
otherwise 1
out 2
outside 1
parents 1
pins 1
planetarium 1
powerful 1
powerless 1
promise 1
ranulf 2
raquel 3
realise 1
realises 3
refuses 1
rest 1
returned 1
rise 1
rogue 2
room 1
run 1
rundown 1
several 2
shard 1
she 13
sister 1
so 1
solid 1
solidity 1
some 1
someone 1
splashed 1
stages 1
status 1
stay 1
staying 3
stepfather 1
succeed 1
take 1
takes 1
tell 3
telling 1
tells 2
that 5
the 13
their 1
them 3
there 1
they 9
throws 1
tied 2
to 27
told 2
torture 1
track 1
unaware 1
up 2
vampire 7
vampirism 1
vic 4
waits 1
wanting 1
water 1
weak 1
weakening 1
were 1
where 2
which 2
while 2
who 8
whose 1
why 1
will 2
with 4
without 1
woken 1
would 1
wraith 4
wraiths 2
york 1
