12254915
/m/02vxtdp
/m/02vxtdp
Pascal Lainé
1974
18 1
30yearold 1
a 10
abandons 1
after 1
again 1
age 1
aimery 2
an 2
and 11
anything 1
apartment 1
apple 11
are 1
article 1
as 1
at 5
away 1
barmaid 1
based 1
begins 1
begrudges 1
believe 1
bligny 1
book 1
both 1
boyfriend 1
breaks 1
but 2
by 1
cabourg 1
candle 1
central 1
characters 1
charms 1
cleanser 1
complaint 1
continuous 1
convinced 1
cream 1
daughter 1
de 1
dentellire 1
devotion 1
different 1
docile 1
doesnt 1
drink 1
eating 2
endbut 1
ends 1
entrance 1
every 1
express 1
expresses 1
family 1
fascinated 1
father 1
first 2
france 1
french 1
friend 1
friends 1
friendship 1
frla 1
from 2
gets 1
gloves 1
got 1
had 1
hair 1
has 1
he 4
her 15
herself 1
him 1
his 1
hospital 1
housework 1
how 1
humble 1
ice 1
in 15
initially 1
intellectual 1
interest 1
irritates 1
is 8
know 1
lazare 1
leaves 1
left 2
life 2
light 1
like 2
live 2
living 1
loses 1
magazines 1
make 1
makeup 1
marilyn 3
meaning 1
meet 1
mental 1
modeling 1
more 1
mother 4
near 1
never 1
next 1
night 1
noisy 1
northern 1
novel 1
novels 1
of 3
off 1
on 1
only 1
or 1
original 1
painting 1
paris 3
personal 1
problems 1
prostitute 1
puts 1
reads 1
reason 1
redhead 1
respectable 1
returns 1
roadside 1
roman 1
romance 2
rubber 1
salon 1
saying 1
says 1
she 7
shop 1
shows 1
silent 1
simplicity 2
sincerity 1
some 1
st 1
station 1
stops 1
story 1
student 1
studio 1
suburb 1
succeeds 1
such 1
suffering 1
surrounded 1
survive 1
takes 1
tea 1
tenderness 1
text 1
that 1
the 9
themselves 1
they 3
through 1
to 4
together 1
train 1
tries 1
tv 1
two 1
ugly 1
unsuccessfully 1
unworthy 1
up 3
vacationing 1
vermeer 1
village 1
watch 1
way 1
we 1
wear 1
what 1
when 2
where 1
while 2
whiskey 1
who 2
with 3
without 1
working 1
works 1
