5750096
/m/0f2ntf
/m/0f2ntf
John Flanagan
2004-11-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 8
after 1
again 1
against 2
ago 1
although 1
an 1
and 9
angry 1
annual 1
apprentice 2
apprenticed 1
araluen 4
are 3
army 1
arrow 1
art 1
as 6
at 2
attempt 1
back 1
badly 1
baron 2
barren 1
battle 1
battleschool 1
battling 1
be 1
because 1
becomes 2
been 1
being 1
bleak 1
bronze 1
brought 1
burns 1
but 1
by 2
called 2
carefully 1
choice 1
choosing 1
come 1
considered 1
control 2
country 1
craftmaster 1
creatures 2
dark 1
day 2
down 1
duncan 1
easy 1
evil 1
exiled 1
fief 3
fifteen 2
figures 1
finding 1
first 1
flaming 1
flammable 1
for 5
former 1
fur 1
gathering 2
gorlan 1
group 1
halt 4
hand 1
has 2
have 2
he 4
head 1
help 1
hero 1
highly 1
him 1
his 9
identifies 1
important 1
in 6
injured 1
intelligence 1
is 6
it 1
its 1
kalkara 5
killed 2
king 1
kingdom 2
known 2
last 1
leaves 1
little 1
long 2
lord 2
manage 1
medal 1
meeting 1
more 1
morgarath 4
morgaraths 1
mountains 1
night 1
now 2
oakleaf 1
of 10
on 1
once 1
one 1
other 2
others 1
out 1
own 1
planning 1
plots 1
power 1
prepares 2
preparing 1
rain 1
rallying 1
range 1
ranger 1
rangers 4
realm 1
rebel 1
rebellion 1
receive 1
receives 1
redmont 1
report 1
result 1
revenge 1
rides 1
rodney 2
ruin 1
save 1
several 1
side 1
silently 1
sir 2
skills 2
slay 2
soldiers 1
special 1
specialize 1
staying 1
suddenly 1
suitable 1
take 1
tested 1
that 2
the 24
their 1
therefore 1
these 1
to 12
track 1
trained 1
under 1
unleash 1
unseen 1
unsuccessful 1
vicious 1
waiting 1
wargals 2
was 2
weapons 1
where 3
which 2
while 1
will 8
with 2
years 2
