4050623
/m/0bfl1b
/m/0bfl1b
Mary Renault
1969-06
{"/m/0hwxm": "Historical novel"}
a 2
about 1
alexander 3
an 1
and 4
aristotle 1
arrogant 1
as 2
assassination 1
athenian 1
begin 1
both 1
by 1
career 1
child 1
coils 1
companion 1
complicated 1
conquests 1
contains 1
controversial 1
cowardly 1
demosthenes 1
depicted 1
devotion 1
education 1
ends 1
father 1
foreshadowed 1
friend 1
heir 1
hephaistion 1
him 1
his 8
intimate 1
is 2
knotting 1
later 1
lifelong 1
line 1
lover 1
macedon 1
memorable 1
mother 1
novel 3
of 5
olympias 1
opening 1
opposition 1
orator 1
philip 2
philosopher 1
poised 1
portrait 1
portraying 1
portrays 1
relationship 1
snake 1
the 9
to 3
under 1
vindictive 1
waist 1
wakened 1
was 1
whose 2
with 3
