15933140
/m/03qhf6r
/m/03qhf6r
Walter Tevis
1983
a 1
addiction 1
after 1
age 1
alcohol 1
all 2
an 1
and 4
appearances 1
as 1
becomes 1
beth 2
but 1
by 3
championship 1
chess 2
childhood 1
circuit 1
clearer 1
competing 1
control 1
eightyearold 1
escape 1
favored 1
feels 1
first 2
for 2
frightening 1
from 1
fully 1
gambit 1
game 1
get 1
grandmaster 1
grow 1
grows 1
harmon 3
her 9
herself 1
higher 1
hones 1
in 3
is 1
isolation 1
life 2
more 2
named 1
of 3
on 1
open 1
opening 1
orphan 1
orphanage 1
plays 1
professional 1
protagonist 1
queen 1
quiet 1
ranks 1
rise 1
senses 1
sharper 1
she 3
shes 1
sixteen 1
skills 1
stakes 1
struggles 1
sullen 1
tempting 1
the 10
thinking 1
thought 1
through 2
time 1
to 1
traces 1
tranquilizer 1
triumphant 1
unremarkable 1
until 1
us 1
with 1
