6349278
/m/0g23wk
/m/0g23wk
Shelagh Stephenson

1 6
17 6
1th 1
21st 1
a 7
about 4
additional 1
advancement 1
after 1
agree 1
also 4
an 1
and 16
any 1
are 6
armstrong 3
as 1
at 1
basement 1
basic 1
be 2
because 1
become 1
begin 1
behind 1
besides 1
between 1
both 1
bring 1
by 2
can 1
centuries 2
certainties 1
challenges 1
change 1
characters 4
conclusions 1
concrete 1
confesses 1
corpse 1
cross 1
daughters 1
deals 1
death 2
deceased 1
decision 1
detective 1
development 1
different 1
disapproval 1
discussed 1
dissection 1
divided 1
do 1
drawn 1
ellen 2
embryos 1
enlightened 1
ethical 1
ethics 1
examine 1
expected 1
face 1
father 1
feigned 1
fenwick 1
finds 1
for 3
form 1
found 1
friend 1
friends 1
gap 1
gender 1
general 1
genetic 1
geneticist 1
genetics 1
great 1
handyman 1
hanging 2
harriet 1
have 2
he 3
her 3
herself 1
highlights 1
him 1
his 2
historian 1
home 1
house 1
human 1
hundred 1
husband 1
identity 1
if 1
implicitly 1
in 17
intercourse 1
involves 1
is 11
isobel 5
issue 1
it 2
kate 1
kill 1
leads 1
leaving 1
life 1
limits 2
love 1
maid 1
male 1
maria 1
means 1
medical 1
medicine 1
millennium 1
modern 1
more 1
moved 1
naked 1
new 4
no 1
not 1
of 17
old 1
on 1
one 1
overhears 1
part 1
perform 1
periods 2
phil 1
physician 1
place 1
play 4
plot 1
possessed 1
principles 1
process 1
questions 4
recently 1
research 2
researcher 1
resolves 1
responsibilities 1
right 2
ring 1
roget 2
roles 2
same 1
science 1
scientific 1
scientist 3
scientists 2
seduces 1
she 2
skeleton 1
skipping 1
somehow 1
soul 1
specifically 1
speeds 1
spine 1
stand 1
stemcell 1
stereotypes 1
stereotypical 1
story 1
such 2
susannah 1
symbolicmdashthey 1
takes 1
talk 1
that 1
the 49
their 3
them 2
theme 1
then 3
there 2
thesaurus 1
this 1
thoroughly 1
though 2
time 3
times 2
to 10
tobeauthor 1
tom 1
too 1
topic 1
turns 1
twisted 1
two 5
uneducated 1
up 1
use 1
using 1
whereas 1
while 1
who 1
wife 3
will 1
with 3
women 1
would 1
year 1
years 2
young 1
