552177
/m/02p6g_
/m/02p6g_
Terry Pratchett

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 3
absence 1
afterwards 1
again 1
an 2
and 9
anthropomorphic 1
apparently 1
are 1
assassin 2
assassination 1
attempt 1
auditors 2
away 1
back 1
beard 1
because 3
become 1
before 1
being 2
beings 1
belief 2
believe 1
believing 1
bilious 3
bones 1
brand 1
brings 1
but 2
by 4
candidate 1
cannot 2
castle 2
children 3
clears 1
cliff 1
cloak 1
collapses 1
collecting 1
commission 1
complicated 1
continue 1
control 1
create 1
created 1
cure 1
death 3
decides 1
deciding 1
discover 1
discovered 1
does 1
dogs 1
downey 1
due 2
eliminate 1
explains 1
fairy 1
falling 1
find 2
fit 1
for 2
forcing 1
forms 1
from 1
gaiters 1
genius 1
god 1
gods 1
granddaughter 1
guild 1
hangovers 1
happened 1
has 1
have 1
he 2
head 1
hex 1
him 4
his 1
hogfather 8
hungover 1
ideal 1
in 6
insane 1
into 1
is 5
it 2
jonathan 1
killed 2
killing 1
kills 1
lack 1
land 1
literally 1
long 1
lord 1
machine 1
make 1
makes 1
meanwhile 1
meet 1
millions 1
monsters 1
mr 1
must 1
ndash 2
not 1
novel 1
nursery 2
of 13
off 2
oh 1
only 2
order 1
original 1
other 1
out 1
over 1
pare 1
particular 1
passes 1
people 1
personifications 1
poker 1
real 1
red 1
rescues 1
rescuing 1
return 1
services 1
several 1
she 2
small 1
so 1
start 1
state 1
stop 2
strike 1
susan 6
take 1
taken 1
taking 1
teatime 3
teeth 2
that 3
the 33
their 2
them 3
themselves 1
then 1
there 1
these 1
they 3
things 1
thinking 1
through 1
throwing 1
to 16
too 1
tooth 1
tower 1
tracks 1
travel 1
universe 1
university 2
unseen 1
upon 1
used 1
using 2
view 1
visits 2
wearing 1
what 1
where 2
which 2
who 1
whom 1
whose 1
wishes 1
with 1
world 1
