2010476
/m/06dvj0
/m/06dvj0
Alexandra Ripley
1991-09
{"/m/014dsx": "Travel", "/m/05hgj": "Novel", "/m/03g3w": "History", "/m/02p0szs": "Historical fiction", "/m/01qxvh": "Romance novel", "/m/02xlf": "Fiction"}
a 39
abound 1
about 5
accented 1
accept 1
adamstown 1
addiction 1
adjacent 1
admire 1
admires 1
admits 1
affection 2
after 8
again 3
against 2
aggravated 1
ago 1
agrees 2
all 2
along 2
also 1
although 1
america 2
an 3
and 52
angered 1
anne 3
another 2
anxious 1
appears 2
are 3
around 1
arrest 1
arrives 1
arrogance 1
arsenal 1
as 6
ashley 1
asks 1
at 12
atlanta 1
attend 1
attending 1
aunts 1
avenge 1
avoid 1
awaits 1
awake 1
away 1
baby 2
back 4
bad 1
ball 1
ballyhara 6
barks 1
be 2
bear 2
because 3
become 1
becomes 1
before 2
begins 1
benteen 1
best 1
between 1
birth 6
birthday 1
birthed 1
blue 1
boat 2
book 2
born 2
boston 1
both 1
boy 1
boychild 1
bravery 1
breaks 1
brother 2
brotherhood 1
burn 1
burns 1
but 9
butler 1
buys 1
by 11
caesarian 1
call 1
called 2
calls 1
can 1
capsizes 1
cat 16
cave 1
celebration 1
changed 1
changeling 1
charles 1
charleston 3
charlestonian 1
child 6
children 2
claimed 1
clan 1
climb 2
colum 9
combined 1
come 2
comes 1
compares 1
completely 1
conceived 1
confesses 1
confusedly 1
connects 1
contact 1
convince 1
convinces 1
corner 1
cousin 4
crazy 1
culminates 1
damage 1
danger 1
dark 2
darling 1
daughter 2
day 1
days 1
death 3
deaths 1
decides 2
deeds 1
delight 1
demands 2
determined 1
didnt 3
die 1
died 3
dies 1
divorce 1
divorced 1
does 4
doesnt 1
done 1
down 4
drop 1
drunken 1
dublin 1
dumbfounded 1
dunes 1
during 1
dying 1
eagerly 1
earning 1
ends 1
engagement 1
english 5
entire 2
escape 1
estate 1
estates 1
estranged 1
eulalie 1
europe 1
ever 1
everyone 1
everything 1
exchange 1
explained 1
explains 1
explanation 1
exploring 1
eyes 3
face 1
fact 1
fair 1
fall 1
family 8
father 2
fathered 1
fearlessness 1
fears 1
fenian 1
fenton 2
fever 1
fierce 1
fiery 1
fight 1
find 1
finding 1
finds 1
fire 1
first 2
fitzpatrick 2
fool 1
for 12
former 1
four 1
frantically 1
friend 1
from 6
full 2
funeral 1
furious 1
gerald 1
gesture 1
girl 2
girlchild 1
gives 1
go 3
goes 2
gone 1
good 2
grainne 1
grandfather 2
grandmother 1
green 2
group 1
grown 1
had 1
halloween 2
hamilton 2
hampton 1
handle 1
harbour 1
hard 1
has 9
haste 1
hastily 1
haunted 1
have 3
he 28
head 1
healthy 1
hears 1
heartbroken 2
heartily 1
heels 1
help 1
her 62
hidden 1
high 1
him 15
himself 2
his 11
hollow 1
honestly 1
honoring 1
hopeful 1
horse 1
house 7
housekeeper 1
how 2
hunt 1
hunts 1
hurried 1
husband 4
i 2
id 1
if 3
ill 1
in 25
including 1
inheritance 1
instead 2
insults 1
intention 1
intentions 1
interested 1
internal 1
into 3
ireland 6
irish 5
is 22
island 1
it 10
its 1
jamie 1
joins 1
katie 3
keep 3
keeps 1
kin 1
kitchen 2
know 2
knowing 1
known 1
knows 1
ladder 1
lamb 1
land 5
later 4
latter 1
laughs 1
lawyers 1
leader 1
league 1
leaks 1
learns 1
leave 2
leaves 5
leaving 2
left 3
letter 1
life 1
like 1
lives 2
living 1
long 1
longer 1
look 2
looking 1
looks 1
lord 2
lose 1
lost 2
love 8
loves 4
loving 1
made 1
mainstay 1
make 1
makes 2
mammy 4
man 2
married 1
marry 1
maternal 2
me 1
mean 1
means 1
meant 1
melanie 3
men 1
midwife 1
mildly 1
miscarriage 1
miss 1
more 1
morning 1
mother 5
mrs 1
murdered 1
mutual 1
my 3
name 2
named 2
names 1
nasty 1
near 2
never 1
new 1
newfound 1
news 2
next 1
night 2
no 3
not 7
note 2
nothing 1
notification 1
notify 1
number 1
of 30
off 1
offers 1
oh 2
ohara 4
oharas 1
old 6
on 6
once 2
one 5
only 1
opium 1
orders 1
other 1
out 6
over 2
overheard 1
owns 1
parties 1
pass 1
past 1
pauline 1
planning 1
plans 2
plantation 2
play 1
playhouse 1
possible 1
praying 1
pregnancy 1
pregnant 2
present 1
pride 1
priest 1
pursues 1
race 1
rather 1
reach 2
ready 1
realized 1
realizes 1
receives 1
reconsiders 1
refuge 1
refuses 2
regained 1
relentlessly 1
remain 2
remembers 1
remorse 1
replaced 1
reputation 1
request 1
rescue 1
resemble 1
reserved 1
respected 1
restored 1
result 1
returning 1
revolt 1
rhett 33
rhetts 1
rival 1
river 1
roam 1
rope 1
rosaleen 1
rosemary 4
rumors 2
runs 4
rushes 1
saddened 1
safely 1
said 2
sail 1
sand 1
savannah 3
saved 1
say 1
says 3
scarlett 50
search 1
secludes 1
second 1
see 1
seeing 1
seeks 1
sees 1
seized 1
sends 1
sets 2
settled 1
settles 1
share 1
she 35
shipwrecked 1
side 2
since 2
sister 2
sisterinlaw 1
situation 1
skin 1
slowly 2
society 1
something 1
son 2
soon 1
speaking 1
spirit 1
spirits 1
start 1
state 1
stay 2
still 4
storm 1
storms 1
stormy 1
story 1
strength 1
stunned 2
successful 1
suddenly 1
suellen 1
summoned 1
summons 1
surrounding 1
survived 1
suspects 1
swear 1
swim 1
take 2
taken 1
tara 3
telegram 1
tell 5
telling 1
tells 3
terrible 1
terrorists 1
than 1
thanksgiving 1
that 22
the 69
their 5
them 1
then 3
there 5
these 1
they 8
things 1
thinking 1
thinks 1
this 3
thought 2
three 1
till 1
time 3
timesin 1
title 1
to 52
together 1
told 2
tower 3
town 1
townspeople 2
travel 1
travels 1
tricks 1
tries 3
truth 1
turn 2
two 2
twothird 1
unable 1
under 1
understands 1
undisputed 1
unite 1
until 4
up 1
upon 1
upset 1
use 1
villagers 1
visit 2
vowing 1
wade 1
wake 1
want 1
wanting 1
wants 1
warrant 1
was 7
water 1
way 1
we 1
wealthiest 1
week 1
welcomed 1
well 1
when 10
where 5
which 4
while 3
who 4
whole 1
whom 2
why 1
widow 1
wilkes 4
will 8
win 2
wind 1
winning 1
wise 2
wishes 1
witch 1
with 28
woman 3
wont 1
worker 1
works 1
would 2
wouldnt 1
written 1
yearly 1
yelling 1
you 4
your 1
