288153
/m/01q9dv
/m/01q9dv
Stephen King
1978
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/02xlf": "Fiction"}
108yearold 1
4 1
a 25
abagail 6
able 3
about 1
accidentally 1
accompanied 1
act 1
adherents 1
adversary 1
after 1
against 1
alias 1
all 1
allowed 1
allows 1
along 2
already 1
also 2
although 2
ambiguous 1
america 1
among 1
an 6
and 33
andros 1
animals 1
another 3
answer 1
anticipate 1
anxiously 1
any 1
are 4
arms 1
army 1
arrives 1
as 14
at 3
atomic 1
attempt 1
attraction 1
avoid 1
aware 2
baby 4
base 2
bateman 3
battle 1
be 1
beach 2
become 2
becomes 1
before 1
begins 1
begs 1
behest 1
being 2
beset 1
birth 2
blast 1
blue 1
board 1
body 1
bomb 3
books 1
both 1
boulder 5
breach 1
breakdown 1
breaks 1
brenter 1
brentner 1
brief 1
brutally 1
builds 1
but 3
by 8
called 1
camps 1
can 2
captain 2
care 1
characters 1
circle 2
circumstances 2
city 1
closes 1
coda 1
collective 1
colorado 1
committee 3
commonly 1
compound 1
confront 1
confrontation 1
confusion 1
consisting 1
contain 1
convinces 1
country 1
created 1
cross 1
crosscountry 1
crucifixion 1
cullen 1
dark 2
darker 1
darkskinned 1
days 1
dealing 1
dealt 1
death 2
decide 1
democratic 2
despite 1
destroy 1
destroying 1
destruction 1
detail 1
detonates 1
developed 1
development 1
dies 1
directs 1
disappears 1
disconnection 1
dismemberment 1
dissent 1
dissenter 1
divided 1
does 2
dog 1
dogs 1
domesticated 1
dont 1
down 1
drawn 2
dreams 1
due 2
dying 2
dynamite 1
each 1
earlier 2
edition 3
effectively 1
emotional 1
en 1
encounter 1
ends 1
enemy 1
entire 2
escape 3
escaped 1
estimated 1
even 1
events 1
eventually 1
evil 3
execution 1
expanded 2
expedition 1
explosion 2
failure 1
fallen 1
falls 1
families 1
family 1
faraday 1
feeling 1
feelings 1
few 1
fight 1
figure 1
final 1
first 2
fits 1
five 1
flagg 16
flaggs 1
flu 1
follower 1
followers 1
follows 1
foot 1
for 9
formally 1
forms 1
four 1
fran 2
frances 1
frannie 1
free 6
freemantle 1
friends 1
from 4
gathers 1
giant 1
given 1
gives 1
glen 3
glowing 1
go 1
god 3
goldsmith 3
good 3
got 1
governance 1
governing 1
greater 1
grief 1
group 3
guard 1
had 2
hand 3
happen 1
harold 1
has 1
have 1
having 1
he 6
hemingford 1
henreid 1
her 3
herself 1
him 3
his 7
home 1
horses 1
how 1
however 2
human 3
humanmade 1
i 1
if 3
ill 1
immunity 1
implications 1
impression 1
in 9
infected 2
influenza 1
inhabitants 2
insane 1
instead 1
intertwining 1
into 4
is 20
it 6
its 4
itself 1
journey 1
just 1
ka 1
killed 1
kills 2
kings 1
kneels 1
know 1
known 1
kojak 2
laboratory 1
lacks 1
larry 3
las 4
last 1
lauder 1
launches 1
law 1
leader 1
leadership 3
leading 1
learn 1
leaves 1
leg 1
life 1
line 1
live 1
lloyd 1
love 1
loved 1
magic 1
magical 1
malfunction 1
malnutrition 1
man 2
manage 1
manifested 1
many 1
martial 1
meant 1
meanwhile 2
members 2
men 2
migrated 1
mistakes 1
most 1
mother 5
multiple 1
must 1
nadine 1
name 1
narrative 1
nebraska 1
nevada 1
nick 2
nineteen 1
no 1
not 2
novel 2
now 1
nuclear 1
number 1
odysseys 1
of 36
off 3
offers 1
omniscient 1
on 6
one 3
ones 1
ongoing 1
opens 2
opportunity 1
or 4
orders 1
original 1
other 4
others 1
ouija 1
out 2
outbreak 1
outlines 1
over 1
pacific 1
pandemic 1
parties 1
parts 1
people 2
person 1
perspective 1
perspectives 1
peter 1
pitched 1
place 2
plants 1
pleasure 1
population 2
power 1
powers 1
preliterate 1
prideful 1
principal 1
prisoner 1
prisoners 1
problems 1
professionals 1
program 1
project 1
prologue 1
promised 1
provide 1
public 1
quell 1
questioning 1
quickly 1
race 2
ralph 3
randall 4
ravaged 1
real 1
rebuild 1
recognizes 1
reconciliation 1
recruiting 1
redman 4
reestablish 1
refuge 1
rejects 1
released 1
remaining 1
remember 2
reorganize 1
representation 1
represents 1
rescued 1
response 1
restore 1
return 1
returning 1
returns 1
revenge 1
right 1
route 1
russell 1
search 1
searching 1
secret 1
secretly 1
security 2
seduced 1
see 1
send 1
sent 1
set 3
seven 1
several 1
shared 1
she 3
shot 1
shut 1
silence 1
small 1
sneak 1
society 4
some 1
somehow 1
somewhere 1
soon 2
sort 1
south 1
spared 1
spies 2
spiritual 2
spread 1
stage 1
stand 1
stern 1
struggle 2
stu 7
succumb 1
such 1
suggested 1
suitable 1
superflu 3
supernatural 1
surrounding 1
survival 1
surviving 1
survivor 1
survivors 5
susan 2
take 2
takes 1
technical 1
telling 1
territory 1
that 8
the 81
their 3
them 3
theme 1
there 3
they 4
thirdparty 1
this 2
threat 1
three 4
through 2
timely 1
titled 2
to 35
together 1
toll 1
tom 1
torture 1
total 1
towards 1
transformed 1
trashcan 1
tries 1
trips 2
two 2
tyrannical 1
undertaken 1
underwood 2
unfortunately 1
unrequited 1
up 1
us 1
using 3
vegas 5
versus 1
via 1
violence 1
virtually 1
virus 3
wakes 1
warhead 1
was 1
weapons 2
well 1
what 2
wheel 1
when 1
where 4
whether 1
which 4
while 2
who 7
whom 1
widespread 1
wilderness 1
will 2
with 15
without 1
witness 1
woman 2
women 1
world 1
worship 1
years 1
zone 6
