20550988
/m/051wyyh
/m/051wyyh
Daniel Silva

a 18
about 2
accept 1
accepts 1
access 1
accident 2
account 2
accuse 1
accuses 1
acquired 1
acquisition 1
activities 1
activitiesas 1
actually 1
additional 1
adds 1
admiring 1
admits 1
adolf 1
adopted 1
after 2
agency 1
agent 4
all 1
allon 2
allowed 1
along 1
also 4
although 1
an 8
and 30
anna 9
annas 2
anonymous 1
anticipating 1
arbitrators 1
are 2
ari 1
arrested 1
arriving 1
art 17
artwork 2
as 10
ask 1
assassin 2
assassinate 1
assassination 1
assignment 2
assigns 1
at 2
attempt 1
augustus 2
bank 3
banker 2
bankers 1
be 1
beatings 1
became 1
becoming 1
before 1
began 1
begin 1
believed 1
belonged 1
best 1
better 1
blind 1
blower 1
body 1
bomb 2
both 1
bought 1
box 1
boxes 2
breach 1
bribed 1
brutally 1
businessmen 1
but 9
by 4
calls 1
career 2
carry 1
case 1
caseand 1
christopher 1
cites 1
citizens 1
collection 5
collectiona 1
collectors 1
combat 1
come 1
comeback 1
comfortable 1
confesses 1
confirms 2
confiscated 1
conjectures 1
conscience 1
contacts 1
contains 2
contemplates 1
contests 1
coordinated 1
cornwall 1
corsica 1
corsican 2
could 1
council 4
country 1
crime 3
cut 1
damage 1
daughter 1
dead 1
dealer 3
death 1
deceased 1
decided 1
decides 1
defends 1
deliberately 1
demands 1
department 1
departs 1
deposit 1
designed 1
desire 1
desk 1
detail 1
determined 2
determines 2
detonates 1
director 1
discovers 1
documents 2
does 3
don 1
during 3
each 1
earlier 1
elaborate 1
elite 1
emerges 2
emil 1
engagement 1
england 1
englishman 2
enjoy 1
escape 4
escapes 2
estranged 1
evade 1
even 1
exchange 1
exiled 1
explain 1
explaining 1
expose 1
expressed 1
expresses 1
extensive 1
fact 1
failed 1
faith 1
family 1
familys 3
fatally 1
father 2
fathers 3
fill 1
finds 1
firsthand 1
five 1
flees 2
for 7
found 1
freelance 1
from 9
further 2
gabriel 19
gabriels 6
gerhardt 2
german 1
gessler 7
gesslers 2
gestapo 1
give 2
good 1
great 1
gring 1
group 1
guard 1
guarded 1
guards 1
guilt 1
had 2
hands 1
has 5
have 1
he 16
heinrich 1
helping 1
her 6
hermann 1
highly 2
him 5
himmler 1
his 20
historian 1
hitler 1
holds 1
home 2
honour 2
housing 1
hundreds 1
ii 1
important 1
imprisonment 1
imprisons 1
in 14
including 2
incriminating 1
indeed 1
informants 1
information 2
injuries 1
insists 1
instructed 1
instructs 1
intelligence 2
internal 1
interrogated 1
iraq 1
ironic 1
is 12
isherwood 3
isherwoods 2
israel 2
israeli 1
it 6
its 6
jacobi 3
jewishowned 1
jews 1
journey 1
julian 2
justice 2
keller 8
key 1
kidnaps 1
killed 1
killing 3
kinsman 1
knowledge 2
later 1
latter 1
law 2
leader 2
leaders 2
learns 1
leave 1
letter 1
life 1
lifestyle 1
links 1
lives 2
locate 1
london 1
longstanding 1
looted 1
lucky 1
luxurious 1
major 1
man 1
manage 1
manages 2
mans 1
meet 3
members 1
missing 2
mission 1
mller 3
mllers 2
moments 1
monetary 1
money 2
months 1
morality 1
more 1
mothers 1
motivation 1
murder 5
murdered 1
murders 1
museum 1
mysterious 1
names 1
nazi 3
never 2
news 1
next 1
not 5
now 2
number 1
numbers 1
of 30
office 4
often 1
on 2
one 2
or 1
order 1
orders 1
organized 1
orsati 4
otto 2
out 1
over 1
own 2
owned 1
owner 1
ownership 1
painting 2
paintings 3
paris 1
parttime 1
performing 1
personally 1
peterson 11
petersons 1
photographs 1
pictures 1
pillage 1
plan 1
planned 1
play 1
plumb 1
police 1
portugal 1
possessing 1
posted 1
private 2
property 2
protect 1
protects 1
provenance 3
purportedly 1
quest 1
questions 1
rather 1
reached 1
reaping 1
recovering 1
recovers 1
refers 1
regime 1
relates 1
release 1
reputation 1
research 1
resolve 1
restorer 1
result 1
return 4
returned 2
returns 3
revealed 1
reveals 1
reward 1
riches 1
rightful 1
role 1
rolfe 10
rolfes 3
rtli 1
sas 1
satisfaction 1
scene 2
scepticism 1
seals 1
seclusion 1
second 2
secretive 2
secure 1
secures 1
security 5
seen 1
selfproclaimed 1
semiofficial 1
services 1
several 1
shamron 2
she 3
should 1
since 1
sixteen 1
something 1
spearheaded 1
specialist 1
spend 1
stabs 1
states 1
staunchly 1
steal 1
still 1
stole 1
stolen 2
store 2
story 1
studied 1
substantial 1
such 1
suffers 1
suicide 1
survived 1
suspects 1
suspicious 1
sustained 2
swiss 5
switzerland 1
switzerlands 2
system 1
takes 2
team 3
techniques 1
tells 1
than 1
that 20
the 58
their 2
them 1
then 2
they 4
this 2
those 1
to 46
topic 1
tour 1
tradition 1
travels 1
tries 1
truth 1
turned 1
turns 1
two 2
unbeknownst 1
uncommon 1
underhandedly 1
understanding 1
unnoticed 1
unscathed 1
up 1
upon 1
valuable 2
value 1
various 1
vast 1
venice 1
villa 1
village 1
violinist 2
visited 1
visiting 1
war 2
warns 1
was 4
wealthy 1
well 1
were 3
werner 2
where 2
which 1
whistle 1
who 7
whom 1
whose 1
why 1
will 2
wish 1
with 7
work 1
works 2
world 2
worldrenowned 1
worries 1
writer 1
wrong 1
year 1
years 2
zurich 3
