3760657
/m/09zjrj
/m/09zjrj
Jack Higgins
1976-08-09
{"/m/01jfsb": "Thriller", "/m/098tmk": "War novel", "/m/02xlf": "Fiction"}
144 1
a 6
after 1
again 1
an 1
and 3
are 1
as 2
at 1
atlantic 1
attempting 1
august 1
battered 1
being 1
boat 1
brazil 1
british 1
but 1
by 1
called 1
citizens 1
coast 2
come 1
conclusion 1
crew 2
crossing 1
each 1
earlier 1
end 1
enemies 1
enemy 1
especially 1
familiar 1
five 1
for 1
foundered 1
from 2
full 1
game 1
german 2
germany 1
has 2
he 1
hebrides 1
help 1
heroes 1
higgins 1
ideas 1
in 3
is 3
islands 1
its 1
jersey 1
journey 1
makes 1
may 1
men 1
merchant 1
need 1
novel 1
nuns 1
obviously 1
of 8
off 2
on 1
once 1
ones 1
other 1
outer 1
passengers 1
protagonists 1
reef 1
regarding 1
remarkable 1
rescue 1
return 1
scotland 1
severely 1
ship 2
shipping 1
shipwreck 1
soldiers 1
some 2
sound 1
storm 1
taken 1
that 2
the 13
time 1
to 5
together 1
try 1
twentytwo 1
via 1
warships 1
washington 1
which 2
with 1
wrecked 1
wrote 1
