5870454
/m/0fb00_
/m/0fb00_
Philip Kerr
2006
7 1
8 1
a 13
acceptable 1
actually 1
addition 1
adventures 1
after 3
again 1
aided 1
alan 5
alive 1
all 1
also 5
alternates 1
alternative 1
an 1
and 20
anyone 1
appears 1
are 2
as 11
assume 1
astaralgi 1
at 1
attack 1
attacking 1
attains 1
attempting 1
ayesha 8
babylon 3
bargaining 1
be 4
become 1
been 2
being 3
bellili 1
between 1
beyond 1
binding 1
bird 1
biting 1
blue 9
bluffing 1
bodies 1
book 6
brother 1
but 3
by 4
called 3
candidate 1
care 1
cat 1
cheater 1
children 2
climaxes 1
cold 1
come 1
conclusions 1
consulting 1
control 1
copy 1
danger 1
de 2
diary 1
dice 1
did 3
discovers 1
djinn 16
djinnverso 1
djinnversoctoannular 1
do 1
dogs 3
due 1
during 1
earlier 1
eden 1
edward 1
effects 1
eliminate 1
end 1
ending 1
ends 1
enters 1
escaping 1
events 1
evil 1
experiences 1
expiring 1
faces 1
famed 1
father 1
favorite 1
fell 1
finding 1
first 2
for 5
forever 1
form 1
fortune 1
framed 1
from 2
game 1
garden 1
ghul 1
ghulle 2
gives 1
go 2
goes 2
good 1
grandmother 1
greater 2
grimoire 3
groanin 1
ground 1
group 1
had 1
has 2
having 3
he 1
hearted 1
held 1
her 7
herself 1
hired 1
his 5
however 4
human 2
humanity 1
in 15
inhabit 1
instead 1
into 4
introduced 1
iraq 1
iravotum 3
is 12
it 3
its 3
jockeying 1
john 8
join 1
kebabylon 1
kidnap 2
killing 1
knew 1
know 1
knowing 1
knows 1
large 1
last 1
later 1
layla 7
leading 2
learn 1
leave 1
leaving 1
legs 1
let 1
life 2
little 1
lives 1
locale 1
logic 1
long 1
loses 1
luck 1
manages 1
map 1
mimi 3
missing 2
montana 2
more 1
mother 2
motion 1
murder 1
must 1
narration 1
near 1
neil 5
never 1
next 4
nimrod 3
normal 1
not 8
novel 1
numerous 1
obstacles 1
of 27
offered 1
on 1
only 2
or 1
out 1
over 1
own 1
palace 4
person 2
philippa 17
physical 1
place 1
position 1
post 2
power 1
powers 2
present 1
pretty 1
previous 1
privy 1
promised 1
prompting 1
pursue 1
rapidly 2
reaches 1
reaching 1
reader 1
reason 1
refused 1
reporter 2
rescue 1
restaurant 1
retch 2
revealed 2
reversing 1
rukkh 1
ruler 1
scrolls 1
search 5
secret 1
set 1
she 6
sided 1
six 1
slowly 1
so 2
solomon 2
spells 1
still 1
stolen 1
success 1
summoned 1
tell 1
that 8
the 50
their 4
them 3
they 2
third 1
this 1
to 17
told 2
tool 1
tournament 1
tracker 1
transformation 1
transforms 1
trap 1
traversal 1
tree 2
tribe 1
tribes 1
turned 1
turns 1
twin 1
twins 4
two 1
unbidden 1
uncle 1
uncles 1
underground 1
undermine 1
until 1
use 3
used 1
uses 1
vast 1
vow 1
wanted 1
was 4
were 1
when 2
which 2
who 3
whom 1
wicked 1
wish 1
wished 1
with 2
without 1
would 4
