1880338
/m/0638kh
/m/0638kh
Benjamin Franklin
1791
17 1
170 1
173 1
1730 1
1730s 1
1732 1
1734 1
1736 1
1740 1
1753 1
1757 1
1771 1
178 1
1780s 1
1784 1
1788 1
27 1
65 1
a 46
abandon 1
abb 1
able 3
about 4
academy 1
accepted 1
accompanied 1
account 2
act 2
action 1
actually 1
addison 1
addressed 1
adopted 1
advantage 1
advocate 1
affairs 1
after 7
against 3
agreeable 1
agreed 1
agreement 1
aide 1
alderman 1
all 1
almanac 1
along 1
already 1
also 4
although 3
amicably 1
an 11
and 62
andrew 2
anecdotes 1
angered 1
anonymous 1
another 2
any 1
anyone 1
anywhere 1
apparent 1
apparently 1
appointment 1
apprentice 1
apprenticeship 1
april 1
arduous 1
are 9
arises 2
arrive 2
arrives 6
arriving 1
as 13
asaph 1
ask 1
asks 1
assembly 8
assent 1
asserts 1
assistant 1
assists 1
at 9
attacked 1
attacking 1
attained 1
attempt 2
attention 1
august 1
author 3
authorship 1
autobiography 5
backing 1
basis 2
be 10
because 4
becomes 4
been 2
before 1
beginning 2
begins 3
behalf 3
beliefs 1
ben 15
benjamin 2
besides 1
best 1
better 1
between 4
bishop 1
black 1
bold 1
bond 1
book 4
boston 2
both 1
bound 1
braddock 3
bradford 2
breach 1
breaks 2
brief 1
british 1
brother 3
brothers 1
building 2
burgess 1
business 4
but 14
buys 1
by 17
calls 1
camp 1
can 1
cannot 1
capital 1
carolina 1
cause 2
causes 1
childhood 1
chooses 1
chosen 1
city 3
clerk 1
club 1
clubs 1
colonel 1
colonial 2
colonies 5
colonists 1
colony 2
columns 1
come 1
comes 1
command 1
comments 1
complains 1
complaints 1
composition 1
comptroller 1
conduct 1
considered 1
consisting 1
constructed 1
contend 1
continue 4
continues 2
continuing 2
control 1
copied 1
correctly 1
correspondents 1
could 1
council 1
councilman 1
counselled 1
county 1
couple 1
courant 3
court 1
cover 1
creates 1
creed 1
crown 1
danger 1
dare 1
day 1
de 1
deals 1
death 2
deborah 1
declining 1
defends 1
defense 2
delay 1
delays 1
denham 2
dependence 1
deputy 1
description 1
despisd 1
despite 1
detailed 1
device 1
did 1
died 1
dies 1
differences 2
disagreement 1
discarded 1
discharge 1
discuss 1
discusses 2
disputes 2
dissolves 1
does 3
dogood 1
doing 1
done 1
door 1
down 1
dr 3
draws 3
drinking 1
duplicate 1
during 3
each 3
early 1
easier 1
electricity 2
else 1
employ 1
employee 2
employees 1
encourages 1
encouraging 1
ends 1
england 7
english 2
enmity 1
enraged 1
errata 1
escape 1
escorting 1
essays 2
essentials 1
establish 2
estate 1
evening 1
eventually 2
execution 1
expands 1
expected 2
experiences 1
experiments 3
extremely 1
fair 1
famed 1
far 1
father 6
feel 1
feels 1
fellow 1
finally 1
financial 1
finds 3
fire 1
first 3
flee 1
flimsy 1
following 1
fondness 1
for 31
forbids 1
forces 1
formed 1
former 1
forts 1
fothergill 2
found 1
fouryearold 1
franklin 58
french 3
frequent 1
fresh 1
friend 1
friends 3
from 10
frontenac 1
frontier 1
fulfill 2
funds 2
further 2
gazette 2
general 6
gentlemenhttpwwwushistoryorgfranklinphiladelphiaapshtm 1
george 1
get 2
gets 1
give 1
given 1
giving 1
gnadenhut 1
goes 3
good 3
government 2
governmental 1
governor 10
governors 1
gradually 1
grandfather 1
granville 1
ground 1
grounds 1
grows 1
had 8
half 1
happier 1
hardest 1
has 6
have 2
he 35
heads 2
hear 1
hears 1
help 1
helped 1
helping 1
helps 3
hemphill 2
henry 1
hereafter 1
high 1
him 22
himself 3
his 49
honor 1
honorary 1
horses 1
hospital 1
hostile 1
house 2
houses 1
however 4
hugh 2
i 1
ill 1
impossible 1
improvements 1
improving 1
in 39
incidents 1
including 2
indenture 2
indians 3
inference 1
instructions 1
intended 3
interruption 1
into 4
invents 1
involved 1
ireland 1
is 31
issued 1
it 15
its 3
jails 1
james 13
jersey 1
john 1
joseph 1
journals 1
judging 1
july 1
junto 1
just 1
justice 1
justification 1
keep 1
keimer 5
keith 3
kind 1
king 3
kingston 1
knew 1
know 1
knowing 1
knowledge 1
languages 2
last 1
later 1
latter 1
league 1
leave 1
legal 1
legislator 1
legislature 1
leisure 1
lend 1
letter 2
letters 3
library 2
librarythe 1
life 2
limps 1
lineage 1
listing 1
lodging 1
london 4
lord 2
loses 1
lost 1
loudoun 2
loyal 1
make 2
makes 3
making 1
man 1
manage 1
many 1
march 1
marks 1
marries 1
may 2
me 1
meanwhile 1
mediate 1
meet 1
meets 1
member 1
memo 1
men 1
merchant 1
meredith 5
militia 3
money 2
moral 1
more 3
mortally 1
most 1
mother 1
much 3
my 1
name 2
named 1
needed 1
needs 1
negotiate 2
never 1
nevertheless 1
new 7
newspaper 3
next 1
night 1
no 1
nollet 3
north 1
northwestern 1
not 10
notice 1
notices 1
noting 1
november 1
now 3
obtains 1
obvious 1
occasiond 1
of 76
off 1
offended 1
offends 1
offenses 1
offer 1
offers 1
officers 1
old 1
on 13
one 8
ontario 1
onto 1
opens 1
opportunity 1
or 1
order 1
ordinary 1
other 3
others 3
out 4
outlay 1
outline 1
over 1
own 7
pacifist 1
pamphlets 1
paper 5
papers 5
paris 3
part 6
partnership 4
pass 1
passy 1
patent 1
pave 1
peace 1
penn 3
pennsylvania 4
people 1
perfect 1
perfection 2
personal 1
personally 1
petition 1
philadelphia 6
philosophical 1
plagiarizing 1
plan 3
planned 1
plural 1
point 2
poor 2
portions 1
position 1
positions 1
post 1
postmaster 2
power 1
praise 1
preacher 2
president 1
press 1
prevailed 1
prevented 1
prevention 1
principal 1
printer 5
printing 5
private 1
privy 1
proceeding 1
produce 2
profitable 2
progress 1
project 2
projected 1
promised 1
proposal 3
proposals 2
proposes 2
proprietaries 4
proprietor 5
provides 1
provokes 1
public 3
publication 1
published 4
publisher 1
publishes 2
publishing 1
pursue 1
put 1
quaker 1
quakers 1
quarrel 1
quarters 1
question 1
quit 1
quotes 1
raised 1
raising 1
rather 1
rationalizes 1
reaches 1
read 2
reading 1
realizes 1
reasons 1
receive 1
received 1
receives 1
recent 1
reckon 1
recognition 1
recommendation 2
recompensed 1
reconciles 1
reference 1
refers 1
refuses 1
refusing 1
refute 1
regarding 1
regiment 1
regiments 1
regulations 1
religions 1
religious 1
remainder 1
remained 1
replaced 1
reports 1
representatives 1
reputation 1
respective 1
respond 2
response 1
returned 1
returning 2
returns 1
rev 1
reveals 1
revolution 1
revolutionaries 1
revolutionary 1
richard 2
rise 1
royal 3
rushes 1
same 1
samuel 2
saturday 1
say 1
saying 2
says 2
second 1
secret 1
sect 1
section 1
secure 2
seeks 1
sees 1
sending 1
sentence 1
separately 1
sermons 4
service 3
set 2
setbacks 1
several 2
ship 1
shop 2
short 1
should 1
sided 1
sides 1
sign 1
significant 1
signs 1
silence 1
since 4
sir 2
skills 1
slips 1
smallest 1
smallpox 1
sneaking 1
so 7
society 1
solicitor 1
some 3
someone 2
sometime 1
son 11
soon 1
spectator 1
spots 1
st 1
start 3
starts 2
stay 1
steele 1
still 1
stopping 1
stove 1
stratagem 1
streets 1
struggle 1
studies 1
study 1
subordinate 1
subscription 2
subscriptions 1
subsequently 1
subsidized 1
substance 1
suburb 1
succeed 1
successful 1
suggests 1
sum 1
summary 2
supplies 2
supports 1
survived 1
switch 1
take 3
taken 1
takes 3
taxation 1
tells 2
than 1
thanks 1
that 21
the 143
their 7
them 2
then 4
theory 1
there 2
therefore 1
these 1
they 3
thinking 1
thirteen 1
this 15
thomas 4
though 1
threaten 1
threats 1
three 1
through 1
thus 1
time 5
to 69
too 2
town 1
traces 1
translated 2
treaty 2
troops 1
trouble 1
turn 1
two 4
twyford 1
tyrone 1
unable 1
uncles 1
under 3
uninterrupted 1
union 1
unsuccessful 1
until 1
up 8
us 1
use 1
utilize 1
vain 1
verge 1
verify 1
very 2
views 1
virtueof 1
virtues 2
visits 1
voted 1
wages 1
wagons 1
war 2
warning 1
was 2
watch 1
way 2
week 2
were 2
what 1
when 10
whereupon 1
which 12
while 3
whitefield 2
who 4
will 5
william 6
wishes 1
with 22
without 1
work 5
worker 1
workers 1
working 1
would 1
wounded 1
write 2
writes 5
writing 3
writings 1
written 3
year 5
york 2
