4852799
/m/0cr0g4
/m/0cr0g4
Whitley Strieber

12yearold 1
40s 1
a 2
abduct 1
abducts 1
abuse 1
aerostar 1
also 1
an 2
and 9
angeles 1
at 1
back 2
barely 1
barton 6
be 1
beats 1
before 1
behaviour 1
between 1
billy 6
billys 1
black 1
both 1
boy 2
boys 3
but 1
california 1
calls 1
can 1
childhood 1
discovers 1
done 1
drives 1
dungeon 1
escape 1
especially 1
extreme 1
father 3
few 1
find 1
finds 1
follows 1
from 2
glimpses 1
hands 1
has 1
he 6
him 2
his 7
home 2
in 3
includes 1
interludes 1
into 2
iowa 1
is 2
just 1
killing 1
late 1
lives 1
location 1
los 1
make 1
mall 1
man 1
manages 1
many 1
minivan 1
miserable 1
narrative 1
neary 1
night 1
obsessed 1
of 7
on 1
other 2
out 1
overweight 1
physical 1
police 1
preventing 1
recollections 1
remains 1
road 1
room 1
royal 1
selfdelusion 1
sexual 1
shopping 1
so 1
spots 1
state 1
strapped 1
suffered 1
suitable 1
switches 1
telephone 1
that 1
the 8
to 7
torturing 1
travels 1
tries 1
violence 1
way 1
what 1
when 1
who 1
with 2
young 2
