11804171
/m/02rt2ky
/m/02rt2ky
William Horwood
1987
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 6
abandoned 1
also 1
american 1
an 1
and 6
are 2
arthur 2
be 1
boy 1
but 1
by 1
cerebral 1
complex 1
computer 1
computergaming 1
concerns 1
cp 1
cruelty 1
daniel 1
days 1
determined 1
discover 1
encapsulates 1
england 1
enlightened 1
esther 2
experiences 1
extreme 1
find 1
finds 1
founded 1
from 3
game 2
genius 1
grandmother 1
grim 1
has 1
he 2
heard 1
hears 1
his 1
hospital 1
in 5
intelligent 1
is 3
it 3
keenly 1
knowing 1
life 1
likely 1
linked 1
lives 1
man 1
martin 1
means 1
named 1
neglect 1
never 1
north 1
of 4
on 1
or 1
out 1
palsy 1
quest 1
recognised 1
senile 1
sets 1
she 2
skallagrigg 4
solve 1
story 1
subject 1
suffering 1
suffers 1
talents 1
teenager 1
that 1
the 9
their 1
these 1
they 1
to 4
tortuously 1
transform 1
truth 2
uncovered 1
what 2
whatever 1
when 1
who 1
whoever 1
whose 1
will 1
word 1
young 1
