3369229
/m/09816n
/m/09816n
Bernard Cornwell
1998-11-19
1803 1
a 2
above 1
ally 1
an 2
and 8
another 1
arab 1
army 1
armys 1
arthur 1
as 1
baggage 1
battle 1
be 1
behind 1
boy 1
british 1
but 1
by 1
cliffs 1
closing 1
cornered 1
corruption 1
dead 1
deccan 1
defeat 1
dodd 2
does 1
double 1
enemies 2
enemy 1
englishman 1
ensign 1
envisage 1
face 1
finds 1
for 1
fortress 1
forts 1
friends 1
gawilghur 2
glorious 1
greatest 1
had 1
hakeswill 2
has 2
have 1
he 2
high 1
his 3
impregnable 1
in 5
india 3
indian 1
into 1
is 7
it 2
its 2
knows 1
last 1
made 1
mahrattas 3
marching 1
must 1
new 2
newly 1
not 1
of 1
officer 1
old 1
on 3
only 2
orphaned 1
perched 1
plain 1
powerful 1
prove 1
refuge 1
regiment 1
renegade 1
retreating 1
richard 1
romance 1
rules 2
said 1
sent 1
sergeant 2
sharpe 4
sir 1
soil 1
spurned 1
stayed 1
stronghold 1
taken 1
that 1
the 10
there 2
to 2
towering 1
train 1
treason 1
triumph 1
twin 1
waiting 1
walls 1
wants 1
wellesleys 2
western 1
what 1
while 1
who 2
will 1
william 1
wishing 1
with 2
