10858440
/m/02qs70l
/m/02qs70l
Erin Hunter
2007-04-24
a 20
accept 1
after 2
agrees 1
alive 1
all 3
along 1
although 1
an 2
and 22
another 1
appear 1
appointed 1
apprentice 10
apprenticed 1
apprentices 1
are 3
argument 1
as 6
ashfur 1
assuming 1
at 6
away 1
badger 1
barley 1
battle 2
battling 1
be 5
because 1
become 3
becomes 3
becoming 1
befriends 1
begins 1
behind 1
being 1
better 2
between 1
biting 1
bitter 1
blindness 3
brackenfur 1
brambleclaw 2
breaks 2
breezepaw 1
brightheart 1
but 1
by 1
camp 2
can 1
cant 1
cat 6
cats 6
causes 1
chewing 1
choice 1
choking 1
clan 5
clans 6
climbing 1
collapsing 1
command 1
commonly 1
compete 2
competing 1
conclusion 1
contests 1
crowfeather 1
cubs 1
day 1
decide 2
decides 1
decision 1
defeat 1
den 1
deputy 3
described 1
desperately 1
destroyed 1
died 2
different 1
dispute 1
does 2
down 1
dream 2
dreams 1
during 1
each 1
earth 1
end 3
enemy 2
escape 1
even 2
every 1
eye 1
eyes 1
feels 1
fell 1
few 1
fighting 1
finds 1
firestar 6
first 2
for 1
forest 1
found 1
four 1
fox 3
foxes 1
freshkill 1
friend 1
from 2
frustrated 2
gathering 4
gets 1
gift 1
goes 1
got 1
graystripe 6
had 1
hand 1
has 3
have 4
he 15
heal 1
hears 1
heatherpaw 1
help 6
her 2
herbs 2
him 4
his 7
hold 1
hollypaw 6
home 1
hunting 1
idea 1
in 15
injured 1
instead 1
into 1
is 8
it 3
jaypaw 12
just 1
kin 2
known 1
knows 1
later 1
leaders 1
leafpool 4
leave 2
life 1
like 1
likewise 1
lionpaw 4
little 1
loose 1
luckily 1
make 2
managed 1
many 1
medicine 5
meet 1
middle 1
might 1
millie 3
moonpool 1
moons 1
must 2
never 1
new 4
next 1
no 1
not 3
of 11
on 3
once 1
one 2
only 2
or 1
other 4
out 4
own 1
pain 1
path 1
paws 2
pick 1
pile 1
pity 1
power 1
powerful 1
prey 1
problem 1
prologue 1
prophecy 4
prove 1
quest 1
quickly 1
ravenpaw 1
realize 2
realizes 2
realizing 1
receives 1
report 2
return 2
revealed 1
right 1
roles 1
save 1
saved 1
scrabbling 1
secretly 1
see 1
seeing 2
sends 1
sent 1
series 1
setback 1
shadowclan 1
shall 1
shares 1
she 2
should 1
sibling 2
sicknesses 1
sight 1
since 2
smells 1
so 1
solve 1
something 1
special 1
squirrelflight 1
starclan 4
stars 1
staying 1
stays 1
still 1
suddenly 1
sunhigh 1
talk 1
telling 2
tells 1
territory 2
than 1
that 11
the 40
their 3
them 1
there 3
therefore 1
they 2
thinks 1
this 1
though 1
thought 1
three 2
thrill 1
through 1
thunderclan 3
tie 1
time 2
to 19
took 1
track 1
trade 1
tree 1
trouble 1
try 1
turns 2
two 1
twolegs 1
uncaring 1
unknown 1
until 1
up 3
upset 1
vision 1
walk 1
walks 1
wants 1
warrior 1
was 4
we 2
weakness 1
when 2
where 1
whichever 1
while 2
who 2
will 2
win 1
windclan 1
with 11
won 2
would 6
yet 1
your 1
