901793
/m/03n8d4
/m/03n8d4
Jo Nesbø
2003
a 38
able 1
about 2
achieved 1
activities 1
admitting 1
aftermath 1
again 1
against 1
agrees 1
alcoholic 2
all 1
also 2
although 1
an 3
and 31
another 3
anything 1
apparent 1
apparently 1
appointed 1
apprehending 1
apprehends 1
are 5
arranges 1
arresting 1
as 15
assist 1
at 3
attached 2
attempts 1
attracted 1
aware 1
away 1
bar 1
bargaining 1
barli 1
be 3
beate 2
become 2
becomes 1
been 2
being 4
benefits 1
binge 1
biological 1
body 2
book 1
boy 1
brings 1
but 8
by 8
cameras 2
can 1
cannot 1
career 1
case 2
cctv 2
cells 1
chained 1
chance 1
charges 1
checking 1
chief 3
chip 1
city 1
clear 1
clearing 1
climax 1
close 1
clue 2
colleague 1
comes 1
coming 1
commits 1
committing 1
completely 2
concluded 1
confession 1
confront 1
confused 1
contact 1
convict 1
convince 3
cover 1
crime 1
crimes 1
criminal 2
custody 2
cut 1
dangerous 1
dangles 1
daunting 1
day 1
days 1
dead 1
dealings 1
death 1
decides 1
dedication 1
deeply 2
depending 1
despite 1
devil 1
diamond 3
diamonds 1
director 2
discovered 1
discovering 1
discovers 2
disruptive 1
do 1
door 1
due 2
during 1
effectively 1
employment 2
encounters 1
especially 2
eventually 3
evidence 3
exonerate 1
explain 1
exposed 1
eyelid 1
faced 1
faces 1
fair 2
father 2
feel 1
feels 1
female 1
few 1
fifth 1
final 1
financial 1
find 1
finger 3
firm 1
fivepointed 4
flash 1
floor 2
for 3
force 1
forensic 1
former 1
found 4
fourth 1
from 5
further 1
future 1
get 2
gets 1
girlfriend 1
given 2
gives 1
goes 2
gone 1
great 1
guarantee 1
guilt 1
had 1
hall 2
hand 1
hands 1
happened 1
harry 43
has 8
having 2
he 13
head 2
heard 1
her 7
hiding 1
high 1
him 12
himself 1
his 28
hole 1
holiday 1
hopeless 1
house 2
how 1
however 2
hunted 1
if 1
illegal 1
immediate 1
immediately 1
impossible 1
in 19
including 1
inducement 1
influence 1
information 1
informs 3
initially 1
initiation 1
innocent 1
inspector 3
inspiration 1
installed 1
instead 2
intended 1
intends 1
into 2
investigating 2
investigation 4
involved 1
irrelevant 1
is 35
it 4
join 1
just 1
kept 1
kidnapped 2
kill 1
killed 1
killer 1
killing 1
kingpin 1
knees 1
known 2
lack 1
lady 2
large 1
later 3
law 1
lead 3
leaves 1
leaving 1
led 1
left 1
less 1
lets 1
life 4
likely 1
lisbeth 1
lnn 4
local 1
locations 1
long 1
loses 1
love 2
loyalty 1
major 1
make 1
man 1
manages 1
meanwhile 4
meet 1
meeting 1
minute 1
misdeeds 1
missing 2
more 2
most 1
multiple 1
murder 9
murderer 3
musical 1
my 2
national 1
near 1
nemesis 1
new 1
next 2
not 1
notices 1
now 2
number 1
of 24
off 1
offer 1
offered 1
olaug 2
oleg 5
on 10
one 1
onto 1
order 1
oslo 1
other 3
out 2
outrageous 1
outskirts 1
over 2
overpower 1
owned 1
papers 1
part 1
partner 2
pentagram 3
perpetrator 1
personal 1
persuaded 1
phone 2
photograph 1
piece 1
points 1
poison 1
police 3
position 3
positive 1
possible 1
possibly 1
precise 1
presumed 1
price 2
prince 1
profession 2
professional 1
proposed 1
prospective 1
prove 2
provided 1
provides 1
pursuing 1
quite 1
rakel 4
rather 1
realisation 1
recently 1
red 3
redeemer 1
regards 1
relationship 1
reluctantly 1
remain 1
remembers 1
reminded 1
removed 1
removes 1
reports 1
reprieve 1
rescinded 1
rescue 1
residence 3
response 1
retreats 1
returns 1
ring 1
rings 1
role 1
russia 1
same 1
satisfactorily 1
save 1
scene 2
scenes 1
secretly 1
seemingly 1
seems 1
seen 1
sends 1
sent 1
separated 1
service 1
shape 1
she 3
shoot 1
short 1
shot 1
should 1
shower 1
shows 1
sighting 1
sign 1
significance 1
similar 1
since 1
single 1
sister 1
sivertsen 7
slip 1
small 2
smuggling 2
solved 1
some 1
son 2
soon 1
specific 1
star 1
stories 1
story 1
student 4
success 1
such 1
sufficient 1
suicide 1
superior 1
superiors 1
surveillance 1
suspect 1
suspicions 1
sven 6
symbol 1
take 1
task 3
team 1
terminate 1
termination 2
testify 1
than 2
that 16
the 59
their 1
them 1
then 1
think 1
third 1
this 3
though 1
threaten 1
threats 1
three 1
time 1
to 42
toilets 1
tom 9
too 1
trade 1
tries 1
true 1
ultimately 2
under 2
unexpected 1
up 3
upset 1
using 3
utter 1
very 3
victim 4
victims 1
virtually 1
waaler 20
was 2
ways 1
weapons 1
weeks 1
well 1
went 1
what 1
when 1
which 2
while 1
who 5
whom 2
why 1
wife 3
wilhelm 1
will 3
willing 1
wish 1
with 6
witnesses 1
women 1
worked 1
would 7
yet 2
