181325
/m/018sb1
/m/018sb1
Julie Myerson

18 1
a 8
accomplice 1
affair 1
after 4
again 4
ailing 1
almost 1
already 1
also 1
although 1
amputated 1
an 3
and 13
another 1
as 1
ashore 1
at 1
attracted 1
aunt 2
baby 2
bags 1
be 1
beats 1
becomes 1
been 1
being 1
billy 4
blundy 2
bobbing 1
body 2
both 1
brought 2
building 1
buried 1
burn 1
but 3
by 7
care 2
caring 1
carriage 3
carry 1
character 1
charged 1
childbirth 1
children 1
cleanliness 1
commit 1
cuts 1
day 2
death 1
decides 1
die 1
died 2
dies 1
does 1
driver 1
drowning 1
embankment 1
employed 1
escaping 1
eventually 1
experiences 1
fact 1
falls 1
father 2
feeling 1
following 1
for 2
france 1
free 1
get 1
given 1
go 1
goes 1
grave 1
has 5
have 3
he 2
head 1
her 20
him 2
his 3
home 1
hospital 1
however 1
husband 2
immediately 1
in 14
inquire 1
institution 1
is 11
it 1
keeps 1
late 1
later 2
laura 7
leaves 1
left 1
leg 1
life 2
lift 1
london 2
loss 1
love 2
lovers 1
loving 1
making 1
man 1
manages 1
married 1
may 1
merchant 1
midwinter 1
moderate 1
more 1
mother 1
murder 1
never 1
not 1
occasionally 1
of 6
on 1
once 1
one 2
or 1
out 1
over 1
own 1
pays 1
penniless 1
plans 1
point 1
potency 1
pregnant 2
prison 1
raised 1
rapes 1
release 1
rescued 1
river 2
run 1
schooling 1
set 1
several 1
sewage 1
she 14
shopowner 1
some 1
son 1
spends 1
start 1
stop 1
streets 1
suicide 1
surgeon 2
system 1
thames 1
than 1
that 2
the 12
then 2
there 1
they 3
thirties 1
this 1
throws 1
time 1
to 12
told 1
unable 1
unmarked 1
up 3
victoria 1
washed 1
way 1
wealth 1
when 3
where 1
who 2
whose 1
wife 1
with 2
woman 1
worker 1
years 2
young 2
