7806341
/m/026dpn2
/m/026dpn2
George Douglas Brown

{"/m/026llv5": "Literary realism"}
12yearold 1
80 1
a 12
about 3
absence 1
access 1
accidentally 1
accosts 1
acquaintance 1
acquires 1
advance 1
after 5
again 1
all 1
allan 1
an 3
and 19
angry 1
anything 1
arctic 1
are 3
around 1
arrival 1
as 1
ask 1
asks 1
at 8
attend 1
attic 1
away 1
barbie 3
bargaining 1
barn 1
bauldy 1
be 3
become 1
been 1
better 1
birth 1
boasts 1
bodies 4
body 1
borrow 1
both 1
boy 1
brawl 1
breaks 1
breast 1
brink 1
brodie 1
broon 1
builder 1
bus 1
business 2
businessman 1
busy 1
but 1
by 7
can 2
cancer 1
carrying 1
carts 2
catches 1
chapter 27
character 1
cheated 1
cigarettes 1
claiming 1
coe 3
comes 1
confronts 1
contract 2
conversation 1
converts 1
corpses 1
daughter 1
day 1
deacon 3
describes 2
description 1
dies 1
dinner 1
discovered 1
discovering 1
discovers 1
discussing 1
disgrace 1
dismiss 1
dismissed 1
doctor 1
dominates 1
done 2
downstairs 1
drags 1
drinking 1
drunk 1
due 1
during 2
edinburgh 4
eight 2
emporium 1
encroaches 1
endangered 1
essay 1
excess 1
expelled 1
expire 1
family 1
father 4
fell 1
fender 1
ferocious 1
fifteen 1
fight 1
financial 1
find 1
for 5
forced 2
foreclosed 1
four 1
from 5
furious 1
gets 1
gibson 3
gilmour 2
glasgow 1
go 2
goes 2
gourlay 26
grant 1
granted 1
grapple 1
green 1
habit 1
has 5
have 1
having 1
he 19
headmaster 1
helps 1
her 1
hides 1
high 1
him 14
himself 1
his 28
hits 3
holidays 1
home 4
honour 1
house 1
how 3
huge 1
humiliated 1
hurt 1
i 1
if 1
ii 1
iii 1
illnesses 1
impressionable 1
in 8
informing 1
inn 1
insane 1
instantly 1
insults 1
into 3
introduces 3
invited 1
is 14
iv 1
ix 1
james 2
jamieson 1
janet 4
jimmy 1
jock 3
john 19
johnny 3
johnston 1
keep 2
killing 1
ladder 1
laird 1
last 1
later 2
lay 1
lease 1
leaves 1
led 1
letter 1
life 1
lion 2
local 1
logan 1
loranogie 1
make 2
man 1
meet 1
meeting 2
miss 1
momentary 1
morning 2
mortgage 1
mother 2
moves 1
mrs 4
new 2
next 1
night 2
noon 1
not 2
notices 1
of 13
off 2
often 1
old 1
on 8
once 1
one 1
opportunity 2
order 2
orra 1
out 1
overhears 1
own 1
partan 1
passed 1
passes 2
perhaps 1
peter 1
phrasemaking 1
plan 1
plays 1
poison 1
poisons 1
poker 1
pony 1
prize 1
property 1
proud 1
provide 1
provost 1
public 1
quarrel 1
quarrels 1
quarry 2
rab 1
raeburn 1
railway 1
realises 1
receives 1
red 2
refuge 1
refuses 2
remonstrates 1
renewed 1
request 1
resolves 1
return 1
returns 4
rights 1
riney 1
ruin 1
running 1
runs 2
scandalously 1
school 5
second 1
see 1
send 2
sent 2
serious 1
set 1
showing 1
shutters 1
sign 1
since 1
skeighan 1
skill 1
slighting 1
slights 1
smoking 1
so 2
son 5
spoils 1
spring 1
square 1
start 1
starts 1
storms 1
story 1
struts 1
stubbornness 1
study 1
success 1
successful 1
summer 1
swipey 1
takes 3
talk 1
tam 1
tap 1
tarmillan 1
tell 1
tells 1
templandmuir 3
that 6
the 45
their 2
themselves 1
then 1
there 2
they 4
this 1
through 1
throws 2
to 32
toddle 1
together 1
too 1
town 3
tozer 1
train 1
tricked 1
truant 1
tuberculosis 1
turns 1
twelve 1
two 1
university 1
up 1
use 2
v 1
veiled 1
very 1
vi 1
vii 1
viii 1
walkingstick 1
was 1
watch 1
watched 1
water 1
way 2
weekday 1
weeks 1
well 1
were 1
what 1
when 5
where 1
which 3
who 3
wife 1
will 2
wilson 10
wilsons 1
window 1
wins 1
with 7
without 1
worker 1
would 1
x 1
xi 1
xii 1
xiii 1
xiv 1
xix 1
xv 1
xvi 1
xvii 1
xviii 1
xx 1
xxi 1
xxii 1
xxiii 1
xxiv 1
xxv 1
xxvi 1
xxvii 1
year 1
years 3
young 1
