3320089
/m/095m4m
/m/095m4m
Antonia Forest
1957-12
{"/m/05hgj": "Novel"}
a 10
about 1
accident 1
actor 1
adjudicator 1
admits 1
afternoon 1
again 2
against 1
agree 1
agrees 1
although 1
amazed 1
an 1
and 16
another 2
any 1
are 3
arrives 1
as 2
asks 1
at 3
attempt 1
away 1
back 2
be 1
beaten 1
because 1
become 2
been 1
before 1
beside 1
big 1
bird 2
bit 1
book 1
bought 1
broken 1
bumped 1
but 1
by 3
called 1
can 2
captain 1
cat 1
catch 1
caught 2
cheque 1
climbs 2
colebridge 1
collecting 1
comes 1
comp 1
compete 1
competition 4
contestant 1
contestants 1
cousin 2
crashing 1
crucial 1
dead 1
despite 1
diving 1
do 1
during 1
each 1
earlier 1
early 1
earthquake 1
eggs 1
eldest 1
elocution 2
enable 1
end 1
enough 1
event 1
eventually 1
falcon 1
falls 1
family 2
farm 3
farmer 1
father 2
feel 1
festival 1
find 2
finds 1
follows 1
for 5
forgotten 1
friends 1
from 1
get 2
giles 1
go 1
greeted 1
gymkhana 1
had 1
half 1
has 3
have 1
hawking 1
hawks 3
he 4
hears 1
help 1
her 18
him 3
his 2
holidays 1
home 1
horse 1
however 1
if 1
in 9
inherits 1
introduces 1
is 14
it 6
its 2
jael 4
jesses 1
joke 1
jon 2
keep 1
kills 1
knocked 1
large 1
later 4
lawrie 5
leather 1
leave 2
left 1
let 1
lets 1
like 2
little 1
london 1
loose 1
make 1
marlow 3
merlin 1
merrick 1
middle 1
might 1
mimicking 1
money 2
morning 1
most 1
navy 1
neither 1
netting 1
nicola 11
nor 1
not 1
of 10
off 1
offers 2
on 1
one 1
only 2
or 1
other 3
out 5
over 2
own 1
owner 1
parents 1
patrick 9
performance 1
persuades 1
peter 3
piece 1
plane 1
rabbits 2
rakes 1
real 1
recognises 1
regina 1
reminds 1
rescue 1
returning 1
rowan 2
run 1
sale 1
save 1
say 1
school 3
second 1
secondhand 1
sent 1
she 18
shooting 1
shoots 1
should 1
showjumping 1
singing 1
sister 1
so 1
some 1
something 1
son 1
song 1
spend 1
sprog 3
staying 1
stopping 1
suggests 1
summer 4
talent 1
teaching 1
tells 2
that 9
the 30
their 3
them 1
they 4
think 1
thinks 2
thongs 2
time 1
to 15
top 1
tree 1
twin 1
two 1
unconsciously 1
unfortunately 1
up 2
want 2
was 1
wearing 1
what 1
whatever 1
when 2
which 2
while 2
who 4
will 1
win 1
wins 2
with 4
worried 1
would 1
