5763542
/m/0f3cmk
/m/0f3cmk
Glen MacDonough

a 14
achievements 1
act 1
after 2
air 1
alas 1
all 3
alone 1
and 19
any 1
anywhere 1
appear 1
appears 1
are 4
around 1
arrive 1
as 3
ask 1
at 3
aunt 1
awards 1
away 1
ball 1
balloon 1
basket 1
beautiful 1
been 1
being 1
brain 2
brains 1
breaks 1
broken 1
but 1
by 2
calls 1
can 1
cannot 1
carried 1
cast 1
castle 1
celebration 1
celebrations 1
center 1
character 1
characters 1
chopper 1
city 3
claims 1
clouds 1
come 1
comes 1
commotion 1
companions 1
complains 1
cow 1
cynthia 2
dance 1
day 1
declares 1
died 1
dog 1
door 1
doris 1
dorothy 13
down 1
early 1
earth 1
east 1
ella 1
em 1
emerald 3
end 1
enter 1
enters 1
escaping 1
ever 1
everyone 1
exits 1
explains 1
fallen 1
far 1
farmhouse 1
feet 1
fierce 1
finale 1
for 5
friends 1
from 2
front 1
gale 1
gates 1
get 1
gets 1
gilroy 1
girl 1
girlfriend 1
gives 1
glinda 3
good 5
great 3
greatest 1
gyle 1
had 1
hamlet 1
has 3
have 1
he 9
heart 2
help 1
henry 1
her 8
him 1
his 8
home 3
hope 1
hot 1
house 1
hung 1
if 1
imogene 1
in 10
into 1
inventor 1
is 8
it 1
join 1
joins 1
kansas 1
keeper 1
killed 1
land 1
left 1
life 1
little 3
lives 1
longing 1
love 1
mad 1
magic 2
man 1
mark 1
marvels 1
maypole 1
meanwhile 1
middle 1
midst 1
mitchell 1
mother 1
munch 1
munchkins 1
murdering 1
must 1
name 1
named 1
nations 1
niccolo 1
no 1
north 1
not 1
noticing 1
of 17
off 2
old 1
on 3
one 2
opens 1
others 1
out 4
outside 1
overthrows 1
oz 2
pair 1
palace 1
pastoria 1
patrols 1
performs 1
pet 1
piccolo 1
playing 2
pole 2
portrayed 1
prairies 1
prison 1
productions 1
promising 1
real 1
receiving 1
return 1
right 1
ring 1
road 1
romayne 1
run 1
rushes 1
rusted 1
scarecrow 4
scorns 1
send 1
sent 1
sets 1
she 7
shelter 1
shoes 1
since 1
sings 2
sir 1
so 1
someone 1
songs 1
south 2
still 1
strange 1
subsequent 1
suggests 1
summon 1
sung 1
take 1
talk 1
tells 1
that 5
the 54
their 1
then 1
there 1
things 1
this 1
three 1
throne 1
thrown 1
time 1
tin 2
to 14
took 1
toto 2
travelers 1
trick 2
turns 1
twelve 1
two 1
uncle 1
up 2
upon 1
various 1
wand 1
wants 1
waves 1
welcomed 1
well 1
west 1
which 3
while 2
whirlwind 1
whiteford 1
who 3
whole 1
wicked 2
wife 1
wiley 1
wings 1
wishes 2
witch 6
with 7
without 1
wizard 6
woodman 2
woodsman 1
written 1
