930137
/m/03q_qg
/m/03q_qg
Charles Dickens
1838
{"/m/02yq81": "Comic novel", "/m/05hgj": "Novel"}
a 49
abilities 1
able 2
aborted 1
about 3
academic 1
accepting 1
access 1
accidentally 1
acclaim 1
accosted 1
accusations 1
across 1
acting 1
action 2
acts 1
actuality 1
adapting 1
advances 1
advise 1
advises 1
affections 2
after 7
again 1
against 5
aged 1
aging 1
agrees 1
aid 4
alcoholic 1
all 3
also 2
amongst 1
an 10
and 93
apothecary 1
appeals 1
are 6
arms 1
arrested 1
arrives 3
arthur 1
artwork 1
as 19
asks 1
assistance 4
assistant 1
associates 1
assumed 1
at 11
atmosphere 1
attempt 3
attempts 6
attend 1
attendance 1
attended 1
attention 1
attentions 1
attracts 1
audiences 1
australia 1
aware 1
away 1
back 7
backfires 1
bankrupted 1
be 2
bearing 1
beat 2
beaten 1
beating 3
beautiful 2
because 1
become 3
becomes 1
becoming 1
been 1
before 1
befriends 1
beggar 2
begins 3
begs 1
behalf 1
being 1
belongings 1
benevolent 1
best 1
bet 1
better 1
between 1
blackmail 1
blames 1
bluntly 1
board 1
boards 1
both 1
boy 3
boys 1
bray 5
brays 1
bridge 1
brooker 6
brother 1
brothers 4
brought 3
browdie 6
browdies 1
bully 1
business 5
businessman 1
but 19
by 16
can 1
cancel 1
card 1
cards 1
carriage 2
catch 1
caught 1
causing 1
charges 3
charles 1
cheeryble 4
cheerybles 1
cheerybless 1
childhood 1
children 5
citing 1
city 1
clerk 3
client 1
clumsy 1
cold 2
collects 1
come 3
comes 1
comfortable 1
commissioning 1
commits 1
companion 1
company 2
concern 1
confess 1
confessing 1
confront 1
confronting 1
confronts 2
consternation 1
contentment 1
contracted 1
conversation 1
convince 1
crash 2
creevy 1
crippled 1
crudemannered 1
crummles 2
crummless 1
dangerously 1
daughter 5
dawn 1
day 3
days 1
dead 1
deathbed 1
debt 1
debtor 1
debts 1
debuts 1
deceased 1
deformed 1
deludes 1
demanding 1
depends 1
desire 1
despite 1
destitute 1
deteriorates 1
determined 1
devastated 1
devonshire 3
devoted 1
died 2
dies 4
dinner 4
disclose 1
discover 4
discovers 4
disgusting 1
dismisses 1
disreputable 1
do 1
documents 1
does 2
doesnt 1
dotheboys 6
down 1
drafty 1
dramatic 1
drinks 1
driven 1
due 1
duel 1
during 1
dying 1
earnest 1
earning 1
eccentric 1
efforts 1
elderly 2
emerges 1
employ 1
employee 1
employer 1
employment 6
encounter 1
encounters 3
endears 1
ends 1
enemy 1
english 1
enlist 1
enlists 1
enters 1
entrusted 1
escape 1
eve 1
evening 1
event 1
events 1
eventually 1
ever 1
exaggerating 1
exchange 1
expresses 1
extended 1
extravagant 1
extremely 1
eye 1
face 1
failed 1
fails 1
fakes 1
family 6
fanny 5
father 3
fee 1
feelings 1
fianc 1
final 1
financial 2
find 1
finds 3
fire 1
firm 1
first 1
flees 1
flirting 2
follows 1
foolish 1
for 22
force 1
forced 4
forfeit 1
forged 1
former 1
formidable 1
fortune 1
found 1
france 1
frank 3
frederick 3
free 1
french 3
friend 4
friendless 1
friendly 1
friends 1
from 7
funny 1
gained 1
gaining 1
game 1
generous 1
get 1
gets 1
