217769
/m/01fwy9
/m/01fwy9
Muriel Spark
1961
{"/m/02xlf": "Fiction"}
130s 1
a 20
able 1
about 4
absence 1
accident 1
accosted 1
accuse 1
acting 1
acts 1
adopts 1
affair 3
after 3
age 1
all 2
alone 1
among 1
an 6
and 21
another 1
are 3
around 1
art 2
as 14
ask 2
asks 1
assigned 1
at 7
attacked 1
author 1
away 1
bachelor 1
be 1
beautiful 1
because 1
become 2
becomes 2
before 2
beforehand 1
begin 1
begins 1
being 1
beside 1
betray 2
betrayed 1
blatantly 1
book 1
break 1
briefly 1
brodie 31
but 1
by 4
called 1
calvinism 1
can 1
career 1
catholic 2
cause 1
causing 1
children 2
civil 1
classical 1
commonplace 1
compile 1
confesses 1
confidante 2
convent 1
cooking 1
could 1
crafted 1
crank 1
day 2
death 1
declines 1
describes 2
detail 1
determined 1
did 1
discover 1
dispersed 1
does 2
due 1
during 3
duties 1
dying 1
each 2
edinburgh 1
education 1
educere 1
eighteen 1
elite 1
embarks 1
emily 1
employment 2
encouraging 2
end 2
ends 1
enquiring 1
eunice 2
evidence 1
exams 1
except 1
exchange 1
expects 1
exposing 1
exposure 1
extravagant 1
face 1
fascinated 1
fascism 2
fattening 1
fictional 1
fight 1
final 1
fire 1
five 1
flashforwards 1
for 5
force 1
form 1
from 3
girls 7
gives 1
gleaned 1
go 1
gordon 1
grounds 1
group 1
grows 1
handsome 2
has 3
have 1
he 3
headmistress 2
helena 1
her 28
herself 3
him 5
himself 1
his 5
history 1
hold 1
holiday 1
hours 1
house 2
housekeepers 1
however 5
husband 1
identity 1
ii 1
imagine 2
in 23
incriminating 1
influences 1
information 1
interest 3
into 2
investigation 1
inviting 1
involved 1
is 11
it 3
jean 3
jenny 4
job 1
join 1
joyce 1
joyfully 1
junior 2
keen 1
keeps 1
kerr 1
killed 1
kiss 1
kisses 1
knowing 1
lands 1
later 1
latin 1
lead 1
leads 1
learn 2
leave 1
leaves 1
leith 1
lessons 1
life 1
literary 1
lloyd 12
lockhart 1
lose 1
love 4
loves 2
loving 1
lowther 7
loyalty 1
mackay 3
main 1
maintains 1
makes 1
man 3
married 2
marrying 1
mary 3
master 1
meet 1
meets 1
mentorship 1
mind 2
miss 22
model 1
moment 1
monica 3
more 2
most 1
move 1
mr 18
nationalist 1
neglect 1
never 2
not 1
notion 1
novel 1
now 5
nun 1
nurse 1
oblivious 1
obsessed 1
occasionally 1
of 18
on 8
once 3
one 5
onearmed 1
only 3
or 2
original 2
other 2
out 3
over 3
overtly 1
painter 1
paintings 1
paints 1
pairs 1
paramour 1
part 1
parttime 1
personal 2
picture 1
place 1
plan 1
point 2
police 2
political 1
portrait 1
pose 1
possible 1
presence 1
prime 2
progressive 1
promoted 1
promoting 1
psychology 2
pupils 1
pursue 1
put 1
really 1
receive 1
religion 2
renounced 1
report 1
resembles 1
respect 1
respectable 1
rest 1
roman 2
rose 7
run 1
sandy 14
says 1
school 11
science 1
scientist 1
seek 1
seeking 1
senior 1
sense 1
separate 1
separately 1
set 5
setmdashbegin 1
sets 1
settling 1
seventeen 1
sexually 1
shall 1
she 14
short 1
should 2
side 1
singing 1
singles 1
sister 1
sisters 1
six 3
sixteen 1
so 1
spanish 1
stand 1
steps 1
stop 1
strange 1
stubborn 1
student 1
students 1
studentsmdashknown 1
studies 1
subjects 1
succeeds 1
sufficient 1
suggested 1
suggests 1
summer 1
tactic 1
take 2
takes 1
taking 1
teacher 3
teachers 2
teaching 1
teddy 1
telling 1
tenyearold 1
tests 1
than 1
that 11
the 51
their 6
them 6
there 1
these 3
they 5
thirteen 1
this 2
though 1
thrills 1
time 1
to 32
touch 1
train 1
transfiguration 2
travelling 1
travels 1
triangle 1
tries 2
trust 1
trying 1
turns 1
twelve 1
two 4
typical 1
typist 1
ultimately 2
under 2
unsuccessfully 1
until 1
up 3
verb 1
veteran 1
visit 1
visiting 1
visits 1
wanes 1
wanting 1
war 3
was 3
water 1
ways 1
we 1
week 1
weeks 1
were 2
what 1
when 5
where 2
which 3
while 4
who 3
whom 1
wife 1
will 2
wing 1
with 13
witnessed 1
world 1
year 2
years 2
young 1
