60128
/m/0gc8j
/m/0gc8j
Isaac Asimov
1982-06
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
24 1
365 1
a 27
able 1
about 1
accompanied 1
adjustments 1
advanced 1
after 1
again 1
agency 1
agenda 1
agent 1
all 2
almost 1
along 1
also 3
among 1
an 3
ancient 1
and 24
announces 1
another 1
answers 1
antimules 3
any 1
are 7
arrested 1
as 10
at 4
attempts 1
awareness 1
basking 1
be 8
because 1
been 3
being 3
believe 1
believes 2
believing 1
between 1
bliss 2
blissenobiarella 1
both 1
brain 1
branno 7
but 6
by 13
called 2
can 3
cannot 1
carry 1
case 1
certain 1
change 1
characteristics 2
charge 1
choice 3
chose 1
commanded 1
commonly 1
compor 1
computer 2
concludes 1
consciousness 2
continued 1
controlled 1
controlling 1
coordinates 2
could 2
council 2
cover 1
crisis 1
current 1
day 2
decide 3
decides 2
definition 1
demonstrates 1
describe 1
destroy 1
determine 1
did 1
diligently 1
discover 1
discovered 1
discovers 1
discuss 1
does 1
doing 1
done 2
dubbed 1
due 1
during 1
earth 9
end 3
entire 1
entity 1
envisions 1
established 1
establishment 1
events 1
eventual 1
exact 1
exist 1
existence 1
exists 1
explains 2
expose 1
extension 1
extinct 1
fabled 1
falls 1
farming 1
fate 1
file 1
final 1
find 1
first 5
five 1
follow 2
for 3
force 1
forced 1
formation 1
former 1
forming 1
foundation 15
from 1
furthers 1
future 1
gaia 11
gaian 2
galactic 3
galaxia 2
galaxy 6
gendibal 8
give 1
glow 1
go 2
goals 1
golan 1
gravitic 1
group 4
guess 1
had 1
hamish 1
hamishwoman 1
hari 1
harla 1
has 5
have 5
having 1
he 12
her 2
herself 1
hierarchy 1
highly 1
him 2
his 7
history 1
homeworld 1
hour 1
however 1
humanity 1
humans 1
hundred 1
ideas 1
in 11
inanimate 1
individual 1
information 2
inhabited 1
intellect 1
intends 1
intention 1
intentional 1
interest 1
interested 1
intuition 1
irreversible 1
is 15
it 5
its 3
janov 1
join 1
joins 1
knowing 1
known 3
large 2
larger 1
last 1
lead 1
learns 1
leave 2
led 1
legends 1
length 1
li 1
library 2
lightning 1
listed 1
living 1
locate 1
location 2
locked 1
logic 1
lot 2
love 1
makes 1
manipulated 1
mayor 3
mdash 2
mean 2
meet 1
member 1
mental 2
mentions 2
met 1
metaphorical 2
might 1
mind 3
minor 1
missing 2
mission 1
monitor 1
more 2
mule 2
munn 1
must 2
mysterious 1
mythologist 1
named 2
navy 1
never 2
new 1
no 2
nonetheless 1
not 5
novi 4
now 1
of 29
officer 1
on 5
once 3
one 4
only 2
or 2
orders 1
other 3
out 3
participate 1
pawn 1
pelorat 9
phrase 2
piece 1
plan 3
planet 5
planets 3
policies 1
political 1
population 1
possess 1
possibly 1
powerful 2
powers 2
preserve 1
previous 1
previously 1
professor 2
protects 1
prove 2
provided 1
question 1
questions 1
quindor 1
quintesetz 1
realizes 1
reasons 1
received 1
recent 1
reference 1
remarkable 1
removed 1
required 1
research 1
resolution 1
retaining 1
reveals 2
right 1
rising 1
rod 1
ruled 1
satellite 1
sayshell 3
search 1
second 11
secret 1
sector 2
seem 1
seldon 6
sends 1
sent 2
separate 1
session 1
shall 1
shandess 3
she 2
shield 1
ship 2
should 1
shows 1
similar 2
since 1
slowly 1
so 2
some 1
speaker 2
speakers 1
stalemate 3
still 2
stor 1
subtle 1
successful 1
such 1
support 1
sura 1
table 4
terminus 3
than 2
that 20
the 71
their 2
them 3
there 1
these 1
they 7
things 1
this 2
those 1
thought 1
three 2
through 3
thus 1
time 2
to 36
track 1
trantor 4
traveling 1
treason 1
trevize 15
troubled 1
ultimately 1
universally 1
unknown 2
until 1
untouched 1
unwitting 1
up 1
uperorganism 1
upon 1
used 1
using 1
very 1
vessel 1
victories 1
victorious 1
vindicated 1
warship 1
was 7
well 1
what 1
where 1
whether 1
which 4
while 1
who 6
whose 1
why 1
will 3
with 5
without 1
woman 1
won 1
wrong 1
year 1
years 1
