4884979
/m/0csjs0
/m/0csjs0
Kurban Said
1937
{"/m/05hgj": "Novel"}
117118 1
118 1
120 1
12011 1
137 1
a 15
adr 1
after 1
age 1
ali 20
ambassador 1
ambassadors 1
an 3
and 18
april 1
armenian 2
arms 1
army 2
around 1
arranged 1
as 4
asia 1
at 1
austria 1
azerbaijan 5
azerbaijani 1
azeri 1
baku 3
battle 1
be 2
because 1
become 1
been 1
beginning 1
beliefs 1
belongs 1
blissful 1
bolshevik 1
bolsheviks 2
book 3
boy 1
brought 1
but 2
by 1
car 1
child 1
christian 1
christianity 1
city 1
closely 1
closer 1
completely 1
confinement 1
contradictory 1
contrary 1
country 4
cultural 1
daghestan 2
decisions 1
declines 1
defend 1
democratic 1
descend 1
descendant 1
describes 1
despite 1
determines 1
developments 1
dies 1
domination 1
dramatic 1
east 1
educated 1
end 1
escape 1
essentially 1
establishment 2
european 1
eve 1
excursions 1
exposed 1
falls 1
family 2
father 3
fears 1
female 1
few 1
finds 1
first 2
flee 1
flees 2
follows 1
for 2
foreign 2
france 1
friend 1
from 3
fundamentally 1
ganja 1
georgia 2
georgian 2
german 1
graduating 1
gurban 1
had 1
harem 2
has 1
he 4
her 1
hesitates 1
high 2
hilltown 1
him 2
his 7
horseback 1
ichari 1
idea 1
ideological 1
in 20
iran 1
is 9
islam 1
khan 4
kidnaps 1
kills 1
kurban 1
language 1
led 1
liberate 1
love 3
make 1
makes 1
male 1
many 1
marriage 2
marry 2
may 1
meantime 1
months 2
more 1
mountain 1
moves 1
much 1
muslim 3
name 1
native 1
new 1
nino 13
noble 1
not 1
novel 2
of 19
offered 1
old 1
on 4
or 1
ottoman 1
overtakes 1
paris 1
part 2
pen 1
persia 2
post 1
postpone 1
poverty 1
practices 1
princess 2
promises 1
published 1
pursues 1
quest 1
reality 1
recapture 1
reconciliation 1
red 1
reminded 1
republic 2
retaliation 1
return 1
revolution 2
roots 1
russian 2
said 2
school 3
set 1
shahar 1
she 1
shirvanshir 1
shortlived 1
shusha 1
simple 1
some 1
someone 1
soviet 1
spares 1
spend 1
spot 1
still 1
story 1
supports 1
take 1
takes 2
tbilisi 1
tehran 1
that 1
the 32
their 2
thought 1
through 1
to 16
tough 1
tradition 2
traditional 1
tries 1
truth 1
turmoil 1
turn 1
two 1
unhappy 2
until 1
up 2
upon 2
using 1
values 1
veil 1
vengeance 1
view 1
villages 1
was 2
watches 1
wear 1
west 1
western 1
when 3
which 1
while 2
who 2
whom 1
will 2
with 3
women 1
world 2
youth 2
