589722
/m/02s_q3
/m/02s_q3
David Mamet

1 1
2 1
3 1
a 9
aaronow 5
about 1
accidentally 1
accomplice 1
accuses 1
add 1
admits 1
advance 1
adventurous 1
agency 1
all 2
alone 1
already 1
an 1
and 15
another 1
any 1
anything 1
at 1
attempts 1
back 4
because 1
begins 1
behind 1
best 1
big 1
blown 1
break 1
bribe 1
bring 1
burglary 2
but 5
by 2
called 1
cancel 1
cancelling 1
cannot 1
cash 2
chinese 1
claiming 1
clients 1
come 1
comes 1
commissions 1
continue 1
contract 2
convince 1
couple 2
crazy 1
dave 2
delivers 1
demands 2
desperate 1
detective 3
devastated 1
discovered 1
does 1
done 1
door 1
end 1
enters 2
estate 3
expensive 1
fate 1
finally 1
folds 1
for 2
found 1
from 1
furious 1
future 1
george 1
give 1
glengarry 2
goes 1
good 1
half 2
hand 1
happy 1
has 6
hate 1
he 6
heads 1
him 5
himself 1
his 5
if 1
in 3
incriminates 1
insecurities 1
instead 1
insulting 1
intentions 1
interrogation 1
intimidates 1
into 3
is 7
it 1
james 2
john 1
just 1
know 1
land 1
large 1
leads 6
leave 1
left 1
levene 13
life 1
like 1
lingk 6
listen 1
listening 1
looking 1
management 1
manager 1
men 1
midrant 1
monologue 1
moss 6
must 1
named 1
names 1
need 1
never 1
no 2
not 4
numbers 1
nyborg 2
of 9
off 1
offering 1
office 6
on 1
only 1
opens 1
ordered 1
orders 1
out 1
part 1
partnership 1
perpetrators 1
phone 1
picks 1
pitch 1
plan 2
plot 1
ploy 1
police 1
potential 1
pressure 1
preys 1
prime 2
promising 1
properties 1
proposes 1
pursues 1
put 1
quickly 1
real 3
require 1
restaurant 2
reveals 2
ricky 2
robbing 1
roma 16
room 2
ruins 1
ruse 1
sale 2
sales 3
salesmen 1
says 1
scene 3
sell 2
selling 1
sense 1
setting 2
shelley 1
shelly 1
shoving 1
signed 1
simply 1
slips 1
sold 1
some 2
speak 2
stage 1
steal 1
stealing 1
strike 1
succeed 1
supports 1
talking 1
tells 2
that 5
the 29
them 2
they 2
thieves 1
to 25
together 1
trick 1
tries 2
true 1
two 1
unaware 1
until 1
up 3
upon 1
very 1
wants 2
were 1
where 1
who 1
wife 1
williamson 12
willing 1
with 7
without 1
wont 1
work 2
worry 1
worthlessthe 1
would 1
