14971451
/m/03h3c3q
/m/03h3c3q
Desmond Bagley
1970
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
a 7
across 1
after 1
agent 2
alan 1
an 1
and 5
arrival 1
as 1
be 2
become 1
been 1
boss 1
by 2
cia 1
coerced 1
deliver 2
desolate 1
desperate 1
discovering 1
double 1
doublecrossed 1
dramatic 1
exmi6 1
fluent 1
for 1
forced 1
former 2
from 2
girlfriend 1
go 1
happens 1
has 3
he 6
him 3
his 3
however 1
iceland 1
icelandic 2
immediately 1
in 2
is 6
kgb 2
kill 2
man 1
masters 1
mission 2
more 1
most 1
mysterious 1
now 2
of 1
off 1
on 1
opposition 1
overland 1
own 1
package 1
parcel 3
people 1
prevent 1
pursued 1
quickly 1
race 1
realizes 1
rugged 1
scenery 1
secret 2
sets 1
should 1
simple 2
small 1
some 1
soon 1
spy 1
stewart 3
take 1
than 1
that 4
the 9
things 1
think 1
to 9
traitor 1
tried 1
tries 1
undertake 1
very 3
what 1
when 1
who 2
willing 1
with 1
worlds 1
wrong 1
