145627
/m/012j5w
/m/012j5w
Patrick O'Brian
1970
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
18 1
1800 1
a 21
aboard 1
accompany 1
action 1
adding 1
affair 1
after 4
against 1
agrees 1
algeciras 1
allows 2
almost 1
along 1
also 1
although 2
among 1
an 2
and 14
animosity 1
april 1
are 3
as 4
asked 1
at 5
aubrey 11
away 1
babbington 1
back 2
backgrounds 1
base 1
battle 1
beating 1
become 1
been 3
begins 1
bloody 1
both 1
brave 1
brig 1
brings 1
british 1
but 2
by 4
cacafuego 1
captain 3
captains 1
captured 1
charges 1
cleared 1
command 1
commandant 1
commander 1
concert 1
convoy 2
courtmartial 1
crew 3
cruise 1
currently 1
defeat 1
dillon 3
do 1
doctor 1
does 1
due 1
duel 1
during 2
duties 1
duty 1
east 1
elbowed 1
encounter 1
ensures 1
escort 1
evening 2
exchanged 1
explain 1
fighting 3
finds 1
first 2
following 1
for 1
four 1
french 2
friends 1
frigate 1
gaining 1
gains 1
get 2
gets 1
gibraltar 1
given 1
good 1
governors 1
great 1
grudge 1
halfcatalan 1
halfirish 1
harte 2
has 5
have 1
having 2
he 6
her 1
him 1
his 8
hopeless 1
however 1
improves 1
in 5
including 1
independently 1
into 2
introduced 1
irishmen 1
is 7
its 1
jack 3
james 1
journey 1
joy 1
just 1
keith 1
know 1
large 1
larger 1
later 1
left 1
lieutenant 2
living 1
longer 1
looking 1
lord 1
losing 1
loss 1
love 1
mahon 2
mainsail 1
malevolence 1
manofwar 1
mansion 1
many 1
master 1
mates 1
matters 1
maturin 6
meet 1
meets 1
members 2
merchant 1
merchants 1
mere 1
midshipman 1
minorca 1
missing 1
money 1
mowett 1
music 1
must 1
natural 1
naval 2
navy 2
never 1
new 1
no 1
not 2
number 2
occurs 1
of 17
officers 1
official 1
on 4
one 1
opportunity 1
or 1
other 1
out 2
over 1
overcomes 1
part 1
period 1
philosopher 1
physician 2
playing 1
poor 1
port 2
post 1
previous 1
prisoners 1
prize 1
prizes 1
promoted 1
promotion 1
pullings 1
pursuit 1
qualities 1
quarters 1
quartet 1
quickly 1
quite 1
rank 1
reader 1
recognition 1
reputation 1
resistance 1
respect 1
royal 1
sailing 1
sailors 1
secret 1
sent 1
served 1
shared 1
she 1
ship 2
shipless 1
ships 1
short 1
sign 1
significant 1
since 2
small 1
sophie 2
sophies 2
spanish 1
spread 1
squadron 1
starts 1
stephen 3
stop 1
story 2
string 1
surgeon 2
taken 1
takes 1
that 5
the 29
their 2
them 2
then 1
they 3
this 2
thomas 1
time 2
to 12
towards 1
two 1
undergo 1
unemployed 1
unit 1
united 1
victory 1
war 1
warships 1
wasting 1
way 1
when 1
which 1
while 1
who 1
wife 1
william 2
with 2
work 1
yard 1
young 1
