339810
/m/01xylf
/m/01xylf
Greg Egan
1999
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
academic 1
alternatives 1
an 1
and 4
as 1
asian 1
australian 1
between 1
biology 1
books 1
character 1
childhood 1
computing 1
connection 1
considers 1
criticism 1
criticizes 1
egan 2
evolutionary 1
excesses 1
exotic 1
explores 1
feminism 1
focus 1
focuses 1
future 1
gay 1
genetics 1
guilt 1
however 1
imperialism 1
in 2
indonesian 1
is 2
it 1
lead 1
life 1
molecular 1
more 1
most 1
novel 2
novels 1
of 6
often 1
on 2
one 1
other 1
politics 1
postmodernism 1
quantum 1
rather 1
refugees 1
repressed 1
sexuality 1
some 2
southeast 1
than 1
the 5
there 1
this 1
time 1
treatment 1
unusual 1
what 1
with 1
