537049
/m/02mt7p
/m/02mt7p
Margaret Atwood

{"/m/026ny": "Dystopia", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel", "/m/0c082": "Utopian and dystopian fiction"}
a 23
abandoning 1
about 1
academy 1
across 1
acting 1
actions 1
activated 1
ad 1
addition 1
admires 1
advanced 2
affection 1
after 3
agent 1
an 4
and 30
andor 1
animal 1
animals 1
another 1
apparently 1
applications 1
approach 2
are 7
arms 1
around 1
as 15
asian 1
assorted 1
at 3
attends 1
back 1
be 3
beasts 1
become 2
becomes 4
befriended 1
begins 1
being 1
beisa 1
betrayal 1
bin 1
bioengineer 1
bioengineering 1
bioform 1
biotechnology 1
bits 1
blast 1
blood 1
body 1
both 4
boy 1
breeding 1
brilliant 1
bring 1
but 2
by 7
called 1
camped 1
cannot 1
chaos 1
character 1
characters 1
checks 1
child 3
civilization 1
clear 2
climax 1
codenames 1
collapse 1
come 1
commercial 1
company 1
compound 1
compounds 1
computer 1
constantly 1
consult 1
contemplates 1
cook 1
copy 1
corporate 1
corporation 1
corporations 1
could 1
crake 21
crakers 7
crakersstrange 1
create 2
creates 1
creator 1
creatures 1
cuts 1
dark 1
derived 1
descendant 1
develops 1
different 1
discovers 1
disguised 1
dominated 1
during 3
dying 1
each 1
educational 1
employees 1
ends 2
engineered 1
engineering 1
entry 1
event 1
eventually 2
except 2
executions 1
experiments 1
extinct 1
extinctathon 3
eyes 1
fall 1
families 1
family 1
father 1
favourite 1
feelings 1
feet 1
fields 1
fight 1
finding 1
finds 1
finishing 1
fire 1
flashbacks 1
follows 1
food 1
foot 2
for 8
freely 1
frog 1
from 6
fun 1
future 1
game 3
games 1
genetic 2
genetically 1
genographer 1
girl 3
glass 1
glenn 2
global 1
go 1
goal 1
god 1
graham 1
grandmaster 1
graphic 1
grasseating 1
great 1
grew 1
group 1
guardian 2
harmoniously 1
has 1
haunted 2
haunting 1
have 3
he 10
helthwyzer 1
her 6
herbivores 1
hermit 1
heroically 1
hide 1
highly 1
him 2
himself 2
hires 1
his 16
hot 1
how 1
however 1
humanities 1
humanlike 1
humans 3
hybrid 1
identified 1
identifies 1
immediately 1
immense 1
in 11
inevitably 1
infected 1
inflamed 1
instills 1
institute 1
intelligent 1
intention 1
intercourse 1
intimately 1
invented 1
involved 1
is 13
it 2
jimmy 18
journey 1
kept 1
killed 1
kills 1
knowledge 1
kwiktime 1
laden 1
launch 1
leaf 1
learn 1
learns 1
leaving 1
left 1
leisure 1
life 1
lifeforms 1
limited 1
literature 1
live 2
lives 1
loathed 1
lot 1
love 1
lower 1
made 1
male 1
man 1
martha 1
matters 1
memory 1
met 1
moiety 1
most 1
moved 1
multinational 1
named 1
nature 1
near 2
nearby 1
never 1
news 1
noodie 1
not 5
notworking 1
novel 2
now 2
obsess 1
of 22
off 1
often 1
on 3
once 1
one 2
online 2
only 2
open 1
or 3
oryx 9
osama 2
other 1
out 1
over 2
own 1
pandemic 1
past 1
pastimes 1
paths 1
peaceful 1
people 1
perfected 1
person 1
pigoons 1
plagued 1
plant 1
play 1
playing 1
pleeblands 1
polyandrous 1
pornography 3
position 1
postapocalyptic 1
present 1
presents 1
privileged 1
products 2
professional 1
project 1
prominent 1
promise 1
propaganda 1
prophylactic 1
prostitute 1
protagonist 1
protect 1
pseudonym 1
pursue 1
questions 1
ragged 1
rakunk 1
rakunks 1
rationale 1
reader 1
reference 1
referred 1
refers 1
relationship 2
religion 1
reminded 1
requires 1
resides 1
respected 1
resulting 1
returning 1
revealed 1
revolving 1
roam 1
roses 1
same 2
saving 1
scavenge 1
school 1
science 1
scientist 1
seasons 1
separated 1
sexual 1
she 2
shoes 1
shoots 1
shortly 1
should 1
skunkweed 1
slitting 1
sliver 1
smoke 1
smoking 1
snowman 5
society 2
some 1
species 1
speculate 1
spend 1
spreads 1
squashing 1
story 2
strange 1
strictly 1
struck 1
student 1
students 1
studies 1
study 2
such 2
supplies 1
surgery 1
surpass 1
takes 1
teacher 1
teenagers 1
that 9
the 48
their 6
them 4
then 1
these 2
they 6
thickney 1
thinks 1
though 2
thought 1
three 1
throat 1
through 2
throughout 2
time 3
tiny 1
to 21
toughened 1
transgenic 1
trip 1
trivia 1
true 1
turns 1
two 3
unanswered 1
uncertain 1
uncomfortable 1
undefined 1
underbelly 1
understanding 1
university 1
unknowingly 1
until 1
up 3
uses 1
using 1
vaccinated 1
valued 1
vanished 1
views 1
virulent 1
voice 1
was 3
watch 2
watches 1
watching 1
watsoncrick 1
we 1
wearing 1
web 1
website 2
what 2
when 1
where 5
whether 1
which 3
while 1
who 3
will 2
with 7
without 1
wolvogs 1
woman 1
worked 1
world 3
writing 1
yet 1
young 3
