9687542
/m/02pp4lp
/m/02pp4lp
Émile Zola
1882
{"/m/05hgj": "Novel"}
18611863 1
22yearold 1
a 9
able 1
abuse 1
activities 1
adventures 1
affair 6
affairs 1
affinity 1
agrees 1
all 2
also 1
always 1
an 5
and 21
angle 1
any 2
are 3
arrangement 2
as 2
aspect 1
aspires 1
at 1
attempts 1
auguste 3
before 1
beginning 1
begins 2
behavior 2
beneath 1
berthe 3
best 1
blind 1
block 1
bohemian 1
boss 1
bourgeois 1
building 4
business 1
but 1
by 3
campardon 1
campardons 1
candor 1
cannot 1
caught 1
characters 3
charming 1
choiseul 2
clarisse 2
cold 1
common 1
community 1
compares 1
complacency 1
compromise 1
conceal 1
concierge 1
condition 1
condoning 1
contempt 1
continuing 1
contrasted 1
course 2
courtyard 1
cousin 1
cover 2
daughter 3
daughters 2
de 2
decorum 1
described 1
despite 1
detests 1
distant 1
doctor 1
domesticity 1
done 1
duveyrier 2
duveyriers 1
efforts 1
employers 1
eventually 2
every 1
everyone 1
everything 1
eye 1
failings 1
failure 1
family 1
find 1
flats 1
floor 1
follows 1
for 4
force 1
forget 1
frigid 1
from 3
george 1
goes 2
going 2
ground 1
guarded 1
habits 1
had 1
handsome 1
happened 1
has 3
have 2
having 2
hdouin 3
he 2
her 10
him 1
his 6
hollow 1
household 2
hunt 1
husband 3
husbandhunting 1
husbands 2
hypochondriac 1
hysterical 1
if 1
in 11
include 1
including 2
indeed 1
inner 1
instills 1
into 1
involved 1
is 10
it 2
job 2
josserand 3
josserands 1
keeps 1
knowledge 1
later 1
learns 1
life 1
live 1
lives 1
living 1
local 1
loveless 1
madame 9
maids 1
man 1
manages 1
marriage 2
marries 1
medical 1
men 1
mistress 1
monsieur 2
months 1
moral 1
morality 1
motions 1
mouret 1
moves 2
multiple 1
mysterious 1
nearby 1
neurotic 1
not 1
nothing 1
novel 1
novels 1
now 1
octave 4
of 19
on 3
one 1
open 1
out 1
outward 1
over 3
particularly 1
passion 1
passionless 1
perfectly 1
perpetual 1
physical 1
piano 1
pichon 2
pichons 1
playing 1
positions 1
potbouille 1
priest 1
prompts 1
propriety 1
prostitution 1
quiet 1
quit 1
rearing 1
rebuffed 1
recounts 1
refuge 1
relentless 1
residents 2
respectability 5
restoring 1
romance 1
rue 2
salesman 1
sand 1
secretly 1
secrets 2
servant 1
servants 1
several 1
sewer 1
sex 1
sham 1
shop 2
silk 1
snare 1
society 1
somewhat 1
son 1
soon 1
subduing 1
subjugated 1
suicide 1
suits 1
suspicion 1
tacitly 1
takes 2
that 3
the 44
their 7
them 2
thereby 1
these 1
they 2
this 1
thophile 1
though 1
through 1
to 10
trots 1
turns 1
two 1
under 1
up 1
use 1
vabre 3
vabres 1
valrie 2
veneer 1
way 1
when 1
while 1
who 9
widowed 1
wife 6
will 1
with 8
work 1
years 1
younger 1
zola 1
