6088381
/m/0fpkyn
/m/0fpkyn
Wendy Coakley-Thompson

{"/m/05hgj": "Novel"}
30 1
a 11
about 1
acrimonious 1
activities 1
agrees 1
aj 1
all 1
along 1
ambitious 1
an 3
and 16
are 1
at 4
attempt 1
away 1
balcony 1
beating 1
become 4
bedside 1
bensonhurst 1
between 1
black 2
blackness 1
blue 1
bring 1
brooklyn 1
bryan 3
by 1
campus 1
candidate 2
car 1
chancellor 2
charged 1
child 1
city 1
citys 1
class 1
college 3
colleges 1
coma 1
come 1
community 1
conflicts 1
consciousness 1
constantly 2
context 1
couple 2
cove 1
crashes 1
crimes 1
cut 1
daughters 1
david 1
decides 1
decisions 1
democratic 1
demonstrations 1
diego 2
dinkins 1
divorce 2
do 1
drives 1
ending 1
ends 1
ensues 1
ept 1
exwife 1
facing 1
family 1
feelings 1
fellowship 1
finally 1
first 1
fixated 1
fluke 1
for 2
forcing 1
friend 1
friends 2
from 2
giuliani 1
goombah 1
has 1
hate 1
have 1
hawkins 1
her 9
him 2
his 4
home 2
in 7
incessantly 1
informs 1
interpersonal 1
interwoven 1
into 1
is 8
italian 1
jersey 2
job 1
jolla 1
la 1
lapses 1
las 1
life 1
lisa 11
lisas 3
love 1
marc 7
marcs 1
marry 1
matchmaking 1
mayor 1
mayoral 1
michele 2
militant 1
mixed 1
mob 1
montclair 1
months 1
mother 3
murders 1
mutual 1
negotiate 1
new 3
night 1
nina 2
novel 1
of 4
on 6
out 2
over 1
overlooking 1
party 3
plague 1
plugging 1
poised 1
political 1
prejudiced 1
professor 1
property 1
prove 1
psychologistwriter 1
questions 1
race 1
racist 1
rebuffing 1
receives 1
reevaluate 1
regains 1
registration 1
remarry 1
republican 1
returns 1
rudy 1
rushes 1
san 2
seeing 1
she 1
showdown 1
simon 1
some 1
star 1
state 1
states 2
stick 1
stress 1
stressed 1
successful 1
sunset 1
take 1
teen 1
terms 1
that 3
the 14
their 2
them 1
these 1
they 2
threaten 1
three 1
tim 2
to 12
together 1
town 1
turned 1
understanding 1
union 1
united 2
university 2
up 1
vegas 1
very 1
vigil 1
visits 1
way 4
when 1
which 2
who 2
winds 1
with 2
word 1
work 1
wrangle 1
york 1
yusuf 1
