14078082
/m/03csw4g
/m/03csw4g
Hideyuki Kikuchi
1983-01-31
1200 1
a 7
ad 1
against 1
agonizing 1
all 1
also 1
an 2
and 8
are 2
as 5
attempts 1
be 1
beautiful 1
become 1
before 1
bit 1
blood 1
both 1
bride 2
brother 1
but 1
by 2
can 1
chance 1
chief 1
corps 1
count 1
creature 1
cursed 1
d 3
daughter 1
distance 1
doris 5
driven 1
eager 1
eliminate 1
else 1
ended 1
enlisting 1
eternity 1
face 1
family 1
fate 1
favor 1
fellow 1
few 2
fiend 1
figher 1
find 1
firestorm 1
for 3
from 3
garo 1
goes 1
greco 1
has 2
help 1
her 8
him 3
himself 1
his 4
hope 1
human 2
humans 2
hunter 1
in 4
into 2
is 3
isnt 1
it 1
kill 2
knew 2
knows 1
lang 1
larmica 1
lee 1
let 1
leverage 1
lord 1
madness 1
magnus 2
makes 1
man 1
manage 1
men 1
more 1
named 1
of 6
one 4
only 3
or 1
out 1
own 1
perceived 1
person 1
place 1
problems 1
ravaged 1
refuses 1
reiginsei 1
retainer 1
ride 1
rohman 1
salvation 1
same 1
see 1
she 4
skilled 1
skills 1
something 1
son 1
stalked 1
survive 1
take 1
than 1
the 16
them 1
there 4
thirst 1
threat 1
to 9
too 1
torment 1
transformation 1
trouble 1
undead 1
unholy 1
use 1
vampire 2
villagers 1
wants 1
wars 1
was 3
watched 1
way 1
weakness 1
wedding 1
werewolf 1
what 1
when 1
willing 2
world 1
wreckage 1
year 1
younger 1
