31662698
/m/0gmdm9k
/m/0gmdm9k
James Bradley


100000 1
105 2
106 1
140s 1
2 1
25 1
250000 1
actions 1
additional 1
after 1
against 1
alice 1
alien 1
all 2
along 1
american 1
americanjapanese 1
an 1
and 17
anglosaxon 2
another 1
array 1
as 1
author 1
been 1
behind 1
biases 1
board 1
book 1
bradley 4
brief 1
broadly 1
bumbling 1
by 1
centers 1
civilian 1
colonial 1
congressman 1
conquests 1
consequences 1
contention 2
cruise 2
cultural 1
daughter 1
decades 1
deepset 1
delegation 1
descent 1
describes 2
description 1
deterministic 1
die 1
diplomacy 1
diplomatic 3
domestic 2
doom 1
during 1
elaborating 1
emissary 1
era 1
example 1
excerpts 1
explores 2
figures 1
filipinos 1
for 2
foreign 2
friendly 1
fueled 1
fuse 1
future 2
had 1
halted 1
have 1
he 1
her 1
heritages 1
highest 1
highranking 1
his 3
history 2
house 2
how 2
howard 1
husband 1
imperial 1
in 9
included 2
including 1
influence 1
initial 1
introduction 1
is 1
it 2
its 1
james 1
japanese 1
lands 1
largest 1
later 2
lit 1
longworth 1
manchuria 2
members 1
military 2
mission 2
more 3
motivation 1
nations 1
nicholas 1
nonteutonic 1
not 1
of 17
officials 1
on 3
one 1
or 1
other 3
p 1
pacific 1
peoples 1
period 1
pertaining 1
philippines 1
philosophies 1
policy 1
policymaking 1
political 1
populations 1
president 2
previously 1
profile 1
protestant 1
racial 1
racially 1
regard 1
relating 1
relations 2
religious 1
resulted 1
roosevelt 7
russojapanese 1
secretary 1
senate 1
sent 1
sentiment 1
sinojapanese 1
slaughter 1
some 1
speaker 1
specifically 1
ss 2
states 1
summer 2
taft 2
takeover 1
teddy 1
teutonic 1
than 2
that 4
the 25
theater 1
their 2
theodore 1
they 1
this 1
through 1
time 1
to 5
turned 1
under 1
undergirded 1
united 1
us 5
virtually 2
voyage 1
war 1
was 1
waspwhite 1
what 1
william 1
with 2
wives 1
world 1
would 2
wrote 1
