27340801
/m/0bxz9v1
/m/0bxz9v1
Janusz Korczak
1923
{"/m/0dwly": "Children's literature"}
a 8
accept 1
african 1
aimed 1
all 1
and 14
answer 1
antagonizing 1
armies 1
arrested 1
at 3
avoids 1
away 1
be 1
becoming 1
beginning 1
being 1
best 2
black 1
blacks 1
bold 1
boy 1
breaks 1
but 3
by 5
cannot 1
carefully 1
catapulted 1
child 1
children 2
completely 1
consequences 1
constitutional 1
corruption 1
covering 1
current 1
death 1
demand 1
depiction 1
desert 1
does 1
edited 1
enacts 1
ends 1
enough 1
entire 1
especially 1
exasperated 1
exiled 1
falls 1
father 1
finally 1
finds 2
for 2
forced 1
foreign 1
free 1
friend 1
friendly 1
from 1
gets 2
govern 1
gross 1
has 1
he 7
him 1
himself 2
his 7
hold 1
however 1
improving 1
in 4
institute 1
intentions 1
invasion 1
is 8
island 1
itself 1
joins 1
journalist 2
king 1
kingdom 1
kings 1
know 1
korczak 1
later 1
life 1
love 1
mail 1
many 1
matt 5
ministers 2
modern 1
monarchy 1
much 2
narrowly 1
needs 1
news 1
not 2
of 11
offer 1
on 1
opinion 1
organize 1
other 1
out 1
outrages 1
overthrown 1
palace 1
paper 1
peasant 1
people 1
pow 1
pretending 1
prince 1
princess 1
processions 1
producing 1
publish 1
racist 1
read 1
reality 1
realizes 1
reforms 1
reign 1
release 1
rely 1
rights 1
royal 1
secretaries 1
several 1
shut 1
silly 1
sinister 1
slips 1
soon 1
spite 1
standards 1
stereotypes 1
sudden 1
takes 1
that 4
the 16
their 1
them 1
three 1
throne 1
time 1
to 11
too 1
tries 2
unintended 1
up 4
volume 1
war 1
way 1
were 1
when 1
which 1
who 1
with 2
world 1
writing 1
young 1
