16972562
/m/0413zdq
/m/0413zdq
Sherman Alexie
1996-09

a 3
activist 1
americans 1
an 1
and 6
anger 1
are 1
as 2
bigoted 1
born 1
by 2
confused 1
crimes 1
desperately 1
elusive 1
engulfs 1
fights 1
for 1
hatred 1
he 1
heritage 1
him 1
himself 1
his 2
hunting 1
identity 1
incites 1
indian 4
jack 1
john 1
killer 1
like 1
lost 1
marie 1
meets 1
men 1
mount 1
murderer 1
mystery 1
native 1
of 2
outraged 1
part 1
passes 1
people 1
personality 1
racial 1
radio 1
raised 1
revenge 1
scalping 1
seattle 2
seek 1
seeks 1
serial 1
shaken 1
slake 1
smith 2
socalled 1
tensions 1
terrorizes 1
that 1
the 4
to 2
triggers 1
true 1
violence 1
wave 1
white 1
whites 2
who 1
wilson 1
writer 1
yearns 1
