719323
/m/035kbs
/m/035kbs
Stephen Fry

{"/m/0mz2": "Alternate history", "/m/07s2s": "Time travel", "/m/014dfn": "Speculative fiction", "/m/06n90": "Science Fiction", "/m/02xlf": "Fiction"}
13 1
132 1
137 1
138 1
141 2
a 23
academia 1
accent 1
active 1
adolf 1
again 1
against 2
agents 1
alarmingly 1
almost 1
also 2
alteration 1
alternate 2
although 2
am 1
america 1
among 1
an 2
and 25
annexes 1
answer 1
apprehended 2
are 3
arms 1
as 8
ask 1
assumes 1
at 6
attempts 1
auschwitz 1
austria 1
authorities 1
awakens 1
aware 1
axel 2
back 3
background 1
band 1
bauer 3
be 5
because 2
become 2
been 1
begin 1
begins 1
believe 1
benelux 1
between 1
biochemistry 1
born 2
braunau 2
braunauaminn 1
britain 2
built 1
by 3
cambridge 1
came 1
can 2
capitulate 1
career 1
changed 1
changes 2
charming 1
clean 1
cold 1
combat 1
comes 1
committed 1
communities 1
completely 1
completing 1
conservative 1
continual 1
contraceptive 1
corrects 1
create 1
criminal 1
cruel 1
czechoslovakia 1
dead 1
decide 2
decriminalisation 1
destruction 1
details 1
developed 2
development 1
develops 1
dies 1
dietrich 2
discover 1
discovers 3
disorientation 1
disoriented 1
dissidents 1
distraction 1
do 1
doctor 1
doctoral 1
dominant 1
drink 1
due 3
duke 1
earlier 1
early 1
effective 1
elated 1
electronics 1
eliminating 1
emerged 1
empire 1
enables 1
encounters 1
end 1
engaged 1
english 1
ensuring 1
equally 1
europe 3
european 1
even 1
every 1
everyone 1
everything 1
except 1
execution 1
exiled 1
existed 1
expecting 1
explicitly 1
fact 1
far 1
faster 1
fate 1
father 1
favorite 1
federal 1
feelings 1
felony 1
fierce 1
fighting 1
figuring 1
final 1
finally 1
first 1
for 3
former 3
france 1
free 1
friend 1
from 4
fruition 1
gay 4
generation 1
genocide 1
george 1
german 1
germany 1
girlfriend 1
gives 1
gloder 3
gone 1
greater 1
guerrillas 1
guilt 1
had 2
happened 1
happy 1
has 9
hatch 1
have 2
he 18
head 1
heard 1
help 1
heritage 1
him 1
his 14
historical 1
history 3
hitler 10
holocaust 2
home 1
homosexual 1
homosexuality 1
how 2
however 1
hungary 1
image 1
imager 1
implied 1
in 26
industry 1
infertile 1
initially 1
inn 1
instrument 1
interest 1
interrupted 1
into 2
invades 1
is 24
it 10
its 2
japan 1
japanese 1
jewish 3
jews 3
joseph 1
just 1
king 1
later 1
latter 2
leader 2
leading 2
learns 1
least 1
led 1
left 2
leningrad 1
leo 3
liberalism 1
life 1
longer 1
machine 2
make 1
male 1
mandate 1
marches 1
marvels 1
mass 1
meets 1
memory 1
michael 19
modify 1
money 1
more 4
moscow 1
most 1
mother 1
moved 1
movement 1
much 1
must 1
nations 1
nazi 5
nazioccupied 1
nazis 4
nazism 1
never 5
new 3
no 4
not 1
now 2
nuclear 3
occurs 2
of 24
on 3
once 1
one 1
only 1
or 1
origin 1
out 3
own 2
pacific 1
parents 1
party 2
past 1
patient 1
peaceful 1
perfected 1
permanent 1
person 2
personal 1
physicist 2
pill 2
plan 4
poison 1
poland 1
politburo 1
position 1
possible 1
power 1
practical 1
previous 2
pride 1
princeton 2
proceeded 1
professor 1
pumped 1
puppy 1
race 1
racial 1
rat 1
realises 1
reality 2
realizes 1
reason 1
rebels 1
receives 1
reciprocates 1
regarding 1
reich 1
reichstag 1
relationship 1
remembers 2
remnants 1
replaced 1
research 1
researcher 1
resolvable 1
result 1
return 1
reunited 1
revealed 1
reveals 1
rise 1
rudolph 1
ruthless 1
satellites 1
scandinavia 1
segregation 1
send 3
senses 1
several 1
shooting 1
short 1
siberia 1
sixties 1
so 2
social 2
socially 1
solution 1
some 3
someone 1
something 1
son 2
songs 1
soon 1
soviet 2
speaking 1
spy 1
stalin 1
start 1
state 1
stated 1
states 3
stealth 1
sterilise 1
sterilising 1
steve 8
still 2
stolen 1
story 1
strong 1
struggle 1
student 1
successful 1
such 1
supporting 1
surprise 1
surprised 1
synthesis 1
take 1
takes 1
talk 1
tells 1
temporal 1
that 17
the 55
their 2
them 2
there 1
these 1
thesis 1
they 7
this 10
time 6
timeline 1
to 31
together 1
told 1
too 1
town 1
turkey 1
turns 2
twist 1
unification 1
union 1
united 3
university 3
unlike 1
unsaid 1
up 3
upsurge 1
urban 1
usa 2
use 2
used 2
utopian 1
verge 1
vi 1
viewedmdashbut 1
war 2
was 9
water 3
weapons 3
well 5
western 1
what 1
when 2
where 1
whether 1
which 2
while 1
who 8
whole 1
will 3
wiping 1
with 7
within 1
without 1
won 1
world 4
wracked 1
writing 1
york 1
young 2
yugoslavia 2
zuckerman 2
