8268587
/m/026yfzn
/m/026yfzn
Chris Crutcher

{"/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 6
adhd 1
afflicted 1
again 1
allowed 1
also 1
among 1
an 2
and 2
announcing 1
as 3
at 3
bad 1
bartholomew 1
be 1
because 1
begins 1
best 1
bigotry 1
billy 1
billys 1
board 3
book 1
boy 1
brick 2
but 2
by 4
can 1
cannot 1
challenge 1
characters 1
chris 1
christ 1
church 7
class 1
climax 1
compels 1
confronted 1
cope 1
crutcher 2
curriculum 1
death 1
deaths 1
disgusted 1
eddie 7
eddies 1
english 1
entirely 1
evangelical 1
facility 1
father 1
favor 1
fictional 1
finds 1
friend 1
from 2
front 1
full 1
get 1
have 1
he 6
health 1
help 1
high 3
him 1
himself 1
his 5
homosexual 1
horrified 1
in 4
intelligent 1
into 1
is 9
jesus 1
join 2
language 1
little 1
local 2
meeting 2
members 1
mental 1
misinterpretation 1
mother 2
narrated 1
not 3
novel 4
novels 1
of 7
on 1
only 3
peece 2
peers 1
placed 1
places 1
proffit 1
propels 1
protagonist 1
read 2
recent 1
red 2
removal 1
removed 1
reverend 1
run 1
school 5
seeks 1
seemingly 1
solace 1
speak 1
speaker 1
starts 1
stop 2
struggles 1
students 1
sudden 1
supposedly 1
talking 3
tarter 2
tarters 2
teacher 1
terms 1
testifies 1
testimony 1
that 3
the 20
then 1
these 2
thinks 1
this 1
though 1
to 7
tragedies 1
two 1
until 2
wants 1
warren 2
way 1
well 1
what 1
when 1
who 2
will 2
with 4
would 1
