7150614
/m/0h6yn6
/m/0h6yn6
Fiona McIntosh

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 3
an 2
and 4
army 1
as 3
assumes 1
attempt 1
bearer 1
beloved 1
between 2
body 1
brutal 1
cease 1
celimus 2
clinging 1
clutches 1
curse 1
dangerous 1
desperate 2
despite 1
despotic 1
end 1
enemy 1
former 1
friend 1
friends 1
from 2
fynch 1
general 1
gift 2
grows 1
he 2
himself 1
his 8
imminent 1
impending 1
in 2
increasingly 1
into 1
is 4
king 1
kingdom 1
known 1
looms 1
love 1
mage 1
magic 1
marriage 1
morgravia 1
morgravian 1
most 1
mountain 1
must 1
myrren 2
nation 1
nations 1
not 1
nuptials 1
of 5
ominous 1
only 1
out 1
own 1
path 1
powerful 1
prevent 1
queen 1
realm 1
running 1
save 1
scattered 1
stronger 1
suggestion 1
supporters 1
sworn 1
that 1
the 11
thirsk 1
threat 1
throne 1
throughout 1
time 1
to 4
trapped 1
two 1
valentyna 1
walk 1
war 1
wedding 1
when 1
while 1
will 1
with 1
wyl 3
yet 1
yetstraight 1
young 1
