23523836
/m/06w9j3x
/m/06w9j3x
Erin Hunter
2008-12-23
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 6
about 1
acts 1
against 1
all 1
always 1
an 1
and 18
anymore 1
argument 1
arrives 1
as 3
at 1
attention 1
attract 1
away 2
back 2
bag 1
be 4
because 2
begins 2
believe 1
bloodclan 1
boat 8
book 1
born 1
brings 1
brownie 1
bumps 1
burning 1
but 2
by 3
captain 6
cat 3
catches 1
chased 1
clothing 1
coats 1
code 1
coming 1
conversation 1
cover 1
cupboard 1
curls 1
customers 1
day 1
decides 1
decision 1
den 1
disappointed 1
dreams 1
elsewhere 1
escapes 1
even 2
explores 1
fall 1
famous 1
feared 1
features 1
find 1
finding 1
finds 2
floor 1
for 1
forest 3
from 1
go 4
goes 1
going 1
happiness 1
has 1
have 1
he 2
heartbreak 1
her 12
him 4
his 1
home 2
in 5
inside 1
insists 1
into 3
is 10
it 1
jean 1
join 2
jump 1
keeps 1
ken 5
kits 1
knows 1
leafbare 1
leaving 1
let 1
live 1
living 1
lonely 1
longer 1
looking 1
looks 1
loved 1
luck 1
makes 2
many 1
meets 1
more 1
names 1
narrowly 1
night 1
no 1
not 2
nothing 1
notices 1
now 3
of 5
off 3
offer 1
on 1
one 3
only 1
onto 2
opens 1
out 2
outside 1
over 1
patch 3
paying 1
pine 1
place 1
plans 1
prepares 1
prevents 1
rather 1
realize 1
realizing 1
refusing 1
replies 1
returns 1
roams 1
runs 1
saboteurs 1
sad 2
sasha 11
scent 1
secondhand 1
service 1
shadowclan 2
shaking 1
she 25
ship 2
shocked 1
shuts 1
sleep 1
sneaks 1
snow 1
something 1
spotted 1
spring 1
start 1
starts 1
staying 1
sticks 1
store 1
stores 1
street 1
surrounded 1
symbolizing 1
takes 1
taking 1
tells 3
than 1
that 11
thaw 1
the 28
their 1
them 2
there 2
thinks 1
though 1
ties 1
tigerstar 5
to 21
tour 1
tourists 1
turns 1
two 3
twolegplace 2
twolegs 1
understands 1
up 4
used 1
very 3
wakes 1
walks 2
wandering 2
wants 2
warrior 1
warriors 1
water 2
way 2
when 4
where 2
which 1
who 1
will 1
wishes 1
with 6
would 2
wrong 1
young 1
