2526704
/m/07k_j1
/m/07k_j1
Giles Foden
1999-12-02
100 1
18 1
a 8
about 1
accurate 1
active 1
against 1
agents 1
an 1
and 6
appear 1
army 1
arrest 1
as 3
at 1
barber 1
becomes 1
bella 1
besieged 1
boer 1
boers 2
border 1
british 5
characters 1
churchill 1
collapse 1
colony 1
committed 1
convention 1
core 1
daughter 1
defying 1
die 1
disease 1
enemy 1
example 1
falls 1
father 1
february 1
fictionalised 1
figures 1
first 1
foden 1
fodens 1
for 1
found 1
from 1
gandhi 1
giles 2
greatgrandfather 1
have 2
he 1
her 1
hills 1
his 2
historical 1
historically 1
hotelkeeper 1
in 3
indian 1
initial 1
irish 1
is 6
k 1
ladysmith 4
laid 1
later 1
lawyerturnedmedical 1
letters 1
looms 1
love 2
mohandas 1
more 1
muddle 1
named 2
natal 1
near 1
nonviolence 1
novel 1
november 1
now 1
number 1
of 7
over 1
panic 1
people 1
philosophy 1
place 1
portuguese 1
railway 1
rampant 1
reach 1
rebelling 1
reporter 1
republics 1
setting 1
shell 1
siege 1
small 1
soldier 2
starvation 1
story 1
structures 1
struggles 1
surprised 1
surrounding 1
that 1
the 15
there 1
they 1
through 2
ths 1
thus 1
time 1
to 3
town 3
version 1
victories 1
volunteer 1
was 1
who 1
winston 1
with 4
world 1
yet 1
young 1
