14802084
/m/03gygr1
/m/03gygr1
Eva Ibbotson
1985-06-27
{"/m/03mfnf": "Young adult literature", "/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
a 12
abandon 2
about 2
accept 1
adventure 1
after 5
against 1
ago 1
all 1
allowed 1
although 1
amazon 3
america 1
an 4
and 23
angers 1
are 4
as 4
asks 2
at 9
attending 1
attention 1
attitude 1
attracted 1
attracts 1
aunt 4
avoid 1
away 2
back 2
ballet 10
bankrupting 1
bans 2
be 2
become 1
becoming 1
been 1
before 1
begin 1
beginning 1
being 2
believes 2
believing 1
betsy 1
book 2
boring 1
boy 3
brandon 2
bring 1
but 2
by 9
cambridge 1
cancelling 1
capacity 1
captured 1
career 2
casse 1
century 1
chairman 1
children 1
circle 1
classics 1
club 2
committed 1
company 6
confirms 1
continue 1
convince 2
correctly 1
cousin 1
custody 1
dancing 1
day 3
dead 1
death 1
deception 1
decided 1
decides 2
delayed 1
desire 1
develops 1
disappeared 1
discovered 1
disrepair 1
distant 1
distress 1
disturbed 1
doctor 1
does 1
down 1
dream 1
dubrov 1
each 1
educated 1
edward 8
elder 2
england 4
englishman 1
enlist 1
entitled 1
entomology 1
epilogue 1
escapes 1
estate 4
explore 1
explorer 1
fairfield 1
fall 1
famous 1
father 8
fiancee 2
fille 1
finally 1
finchdutton 3
find 2
first 1
for 8
forced 3
forces 1
form 1
former 1
freedom 1
friend 2
from 5
front 1
frugal 1
fulfill 1
gardee 1
gentleman 1
giselle 1
give 1
given 1
goodbye 2
grounds 1
group 1
halfbrother 1
happily 1
harriet 19
has 6
having 2
he 9
hearing 1
help 4
henry 13
her 31
highly 1
him 3
his 12
home 1
hope 1
house 4
however 3
idea 1
idolizes 1
in 14
incident 1
informs 1
inherited 1
instantly 1
instead 1
intending 1
intends 3
intimidating 1
into 1
intolerant 1
is 12
isobel 3
john 1
join 3
joined 1
joins 2
kidnap 1
knowledge 1
lake 1
last 1
lavarre 1
leave 2
leaves 2
leaving 2
left 1
lesson 1
lessons 2
let 2
live 2
lived 1
lives 1
locked 1
louisa 1
lousia 1
lovers 1
madame 1
make 1
mal 1
manaus 7
many 2
marieclaude 1
married 2
marry 3
master 1
maze 1
meanwhile 1
measles 1
meet 1
meets 1
mentioned 1
merlin 1
minute 1
miss 1
mistress 1
misunderstanding 1
months 1
morton 1
most 1
mother 1
named 1
next 2
night 1
noisette 1
not 1
now 1
nurse 1
nutcracker 1
obituary 1
occasionally 1
of 14
old 1
on 7
one 1
only 2
opera 1
order 1
other 1
ousted 1
out 1
outraged 1
own 1
owner 3
pair 3
part 1
party 1
past 1
penniless 1
perfectly 1
perform 2
performance 1
permission 1
plan 1
plans 1
practice 1
pretending 1
pretends 1
professor 2
promises 1
promising 1
propose 1
punishment 1
purchased 1
reading 1
realized 1
rebel 1
recalls 2
recovers 1
refuge 1
refuses 1
request 1
respectable 1
rest 1
return 1
returns 3
rom 15
run 1
runs 1
russia 1
sake 1
sasha 1
save 1
say 1
saying 1
school 2
search 1
searching 1
seeing 1
seen 1
sees 1
sent 1
shared 1
she 13
shortly 2
should 2
since 1
smuggle 1
son 2
soon 1
south 1
st 1
stately 1
stavely 4
steamer 1
stop 3
students 1
suggests 1
suicide 1
suspects 1
swan 1
take 1
takes 1
tales 1
tea 1
teacher 1
tells 2
that 6
the 53
theatre 1
their 1
then 6
there 3
they 5
this 1
thought 1
three 1
throws 1
to 50
tour 5
tracks 1
travel 3
travels 1
trumpington 1
trustees 1
two 1
uninteresting 1
university 1
unnamed 1
up 1
upon 1
used 1
verney 1
verneybrandon 1
visit 2
visited 1
waiting 1
wants 1
was 1
wealthy 1
week 1
when 3
where 3
which 7
while 3
who 13
whom 1
widowed 2
will 4
wishes 1
with 5
within 1
without 2
women 1
years 1
youngest 1
