10586117
/m/02qjjm5
/m/02qjjm5


{"/m/0dwly": "Children's literature"}
a 4
act 1
allowed 1
amateur 1
ambition 2
an 1
and 1
at 1
attend 1
be 1
blue 2
book 2
bulldog 1
career 1
children 1
climax 1
comic 1
company 1
composes 1
contest 1
costumes 1
course 1
create 1
curtain 1
designs 1
different 1
direct 1
door 1
doors 1
drama 1
dramatic 1
dream 1
during 1
each 2
elusive 1
enter 1
example 1
families 1
for 1
form 1
group 1
harnessing 1
have 1
his 1
in 5
is 1
it 2
jeremy 1
makes 1
music 1
nigel 1
of 6
order 1
own 1
particular 2
people 2
plays 1
produce 1
professional 1
realise 1
realises 2
roles 1
sandra 1
scenery 1
school 1
seven 1
shines 1
story 1
swish 1
talent 1
tells 1
the 11
theatre 2
theatrical 1
their 2
them 1
they 1
three 1
to 5
which 1
while 1
who 3
win 1
write 1
young 2
