31762256
/m/0gtt2w4
/m/0gtt2w4
Albert Brooks

2030 1
a 4
amendment 1
and 4
angeles 1
been 1
between 1
by 3
cancer 1
cast 1
challenged 1
characters 1
china 1
citizens 1
constitutional 1
could 1
cured 1
debt 1
diverse 1
earthquakedevastated 1
escalated 1
federal 1
follows 1
foreignborn 1
generational 1
halfjewish 1
hamstrung 1
has 2
highprofile 1
in 2
is 1
kidnapping 1
lead 1
los 1
massive 2
of 4
old 1
partnership 1
president 2
reconstruction 1
senior 1
states 1
story 1
tension 1
the 6
time 1
to 1
united 1
which 2
with 1
year 1
young 1
