8121982
/m/026sd75
/m/026sd75
Katharine Burdekin
1937
{"/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia"}
a 12
about 1
according 1
achieved 1
achieving 1
adolf 1
after 2
air 1
airplane 1
alfred 5
all 1
always 1
americas 1
an 1
analogous 1
and 9
appearance 1
appreciated 1
are 2
as 3
asia 1
astounded 1
attractive 1
australia 1
be 1
because 2
becoming 1
before 1
beings 1
believed 1
betrayal 1
blond 2
borders 1
boy 1
burdekin 1
by 2
character 1
christians 1
concentrates 1
contemporary 1
correctly 1
crowd 3
dark 1
degeneration 1
depicting 1
deprived 1
developed 1
difficulty 2
disenfranchised 1
does 1
dogma 1
drastic 1
eliminated 1
elsewhere 1
end 1
english 1
englishman 1
europe 1
european 1
event 1
existed 1
extension 1
fascist 1
figure 1
first 1
fit 1
function 1
german 1
germans 1
germany 4
girl 3
god 3
hair 2
has 1
have 2
he 2
her 1
his 1
historic 1
history 3
hitler 7
homosexual 1
hundred 1
ii 1
importance 1
in 7
inevitable 1
interested 1
is 11
it 1
japan 2
japanese 2
jews 1
last 1
living 1
loathed 1
logical 1
long 1
longestablished 1
maintaining 1
major 1
man 1
marginalized 1
meaningful 1
memory 1
misogynists 1
mission 1
more 1
moscow 1
most 1
much 1
murder 1
myth 1
named 1
nazi 4
nazis 2
nazism 1
no 1
not 1
novel 1
of 13
official 1
on 3
one 1
only 1
opponents 1
oppression 1
or 1
passes 1
pathetic 1
paunch 1
per 1
performing 1
persia 1
personally 1
photograph 2
physical 1
pilgrimage 1
piloted 1
place 1
populations 1
portraying 1
postulates 1
posture 1
power 2
protagonist 1
proud 1
religious 1
reproduction 1
resistance 1
rewriting 1
rights 1
rival 1
rule 1
russia 1
sacred 1
secret 1
seem 1
selfloathing 1
seven 1
shocked 1
shocking 1
shown 1
sites 1
small 1
sole 1
son 1
soviet 1
ss 1
stalemate 1
story 2
subdue 1
suffer 1
superpower 1
surviving 1
takes 1
tall 1
that 1
the 37
their 4
they 1
this 1
though 2
thus 1
time 3
to 10
took 1
truth 1
twenty 1
union 1
utilitarian 1
victory 1
view 1
visit 1
war 5
wars 1
was 2
were 1
west 1
when 2
which 2
who 2
with 1
woman 1
women 4
won 2
world 1
worldview 1
worshipped 1
years 2
yet 1
