28381381
/m/0crhxdx
/m/0crhxdx
Karel Čapek

{"/m/05hgj": "Novel"}
12 1
a 4
about 1
abroad 1
accepted 1
act 1
affair 2
after 1
all 1
also 1
america 1
an 1
and 8
are 2
as 3
becomes 1
begin 1
being 1
believes 1
better 1
between 1
big 1
book 1
but 1
by 1
carpathian 1
coldly 1
considered 1
convenient 1
criminal 1
daughter 1
decide 1
describes 1
despite 1
detests 1
devoted 1
devotion 1
different 1
discovers 1
do 1
doesnt 1
during 1
eight 1
end 1
ending 1
enough 1
ensure 1
eventually 1
everyone 2
everything 1
evidence 1
expects 1
eyes 1
fact 1
faithful 1
farm 3
for 2
forced 1
forward 1
found 1
get 3
greatly 1
guilty 1
had 1
hafia 1
hard 1
he 7
helping 1
her 4
highly 1
him 1
his 3
hodrubal 1
home 1
hopes 1
hordubal 5
however 2
husband 1
idealised 1
in 7
influence 1
investigation 1
is 10
it 1
juraj 1
keep 1
keeper 1
killed 1
kindness 1
knows 1
later 1
lead 1
leave 1
life 3
long 1
looking 1
love 1
managing 1
manya 7
meeting 1
middle 1
misused 1
more 1
motivated 1
much 1
murder 1
new 1
night 1
of 7
order 1
planning 1
polana 6
pregnant 1
presence 1
prison 1
reality 1
relationship 1
religious 1
returns 1
rid 1
ruthenia 1
savings 1
seeing 1
sentenced 2
severe 1
she 2
sinning 1
sins 1
society 1
soon 1
spite 1
stepan 1
still 1
tense 1
that 6
the 17
they 2
things 1
time 2
to 12
together 1
unfaithful 1
unfortunately 1
used 1
very 2
warmly 1
was 4
welcome 1
who 1
wife 2
will 2
with 3
work 1
years 2
