17853256
/m/0479vsl
/m/0479vsl
Victor Appleton
1920
{"/m/03mfnf": "Young adult literature", "/m/08sdrw": "Adventure novel"}
a 6
after 1
agreeing 1
an 1
approaches 1
as 2
barton 1
board 1
both 1
cancel 1
captain 1
carry 1
carrying 1
claims 1
conartist 1
coordinates 1
decides 1
dixwell 1
expedition 3
finance 1
financing 1
for 1
gold 2
guise 1
hardley 4
he 2
help 3
hopes 1
illegal 1
in 1
is 2
keith 2
learns 1
making 1
mary 1
matters 1
mr 5
nestor 1
now 1
of 5
oil 2
on 2
out 1
overheard 1
portion 1
proposition 1
rather 1
recently 1
recording 1
recover 2
recovered 1
relative 1
restoring 1
revolution 1
rewarding 1
rights 1
sank 1
scammed 1
ship 2
someone 1
sunken 1
than 1
that 1
the 13
to 6
tom 5
treasure 2
under 1
unfortunately 1
victim 1
wants 1
was 2
well 2
wells 1
when 1
which 1
who 1
with 2
worse 1
